Date;High price;Low price;Closing price
2017-01-02;1530.61;1510.67;1526.83
2017-01-03;1541.2;1526.26;1534.7
2017-01-04;1538.77;1527.59;1530.93
2017-01-05;1530.93;1521.88;1522.1
2017-01-09;1525.38;1504.07;1509.82
2017-01-10;1516.57;1506.3;1510.09
2017-01-11;1517.75;1501.03;1511.88
2017-01-12;1513.24;1499.58;1503.31
2017-01-13;1522.49;1504.22;1522.49
2017-01-16;1518.27;1511.07;1512.97
2017-01-17;1514.58;1498.74;1507.32
2017-01-18;1515.99;1503.11;1515.99
2017-01-19;1521.92;1508.48;1513.92
2017-01-20;1527.38;1507.78;1525.49
2017-01-23;1524.37;1503.05;1504.69
2017-01-24;1522.87;1504.91;1522.85
2017-01-25;1545.99;1523.99;1545.99
2017-01-26;1563.52;1551.22;1553.89
2017-01-27;1553.79;1536.77;1538.76
2017-01-30;1538.5;1526.47;1528.89
2017-01-31;1548.14;1528.63;1536.75
2017-02-01;1554.15;1537.47;1547.31
2017-02-02;1554.58;1544.6;1551.85
2017-02-03;1559.13;1550.11;1557.31
2017-02-06;1558.92;1547.39;1548.9
2017-02-07;1560.71;1545.73;1550.94
2017-02-08;1552.25;1540.03;1549.24
2017-02-09;1557.5;1545.69;1557.5
2017-02-10;1568.21;1556.66;1562.73
2017-02-13;1572.53;1563.08;1572.18
2017-02-14;1573.11;1563.74;1569.75
2017-02-15;1577.73;1568.17;1574.02
2017-02-16;1580.99;1572.27;1576.33
2017-02-17;1578.91;1566.47;1570.59
2017-02-20;1582.78;1572.58;1576.33
2017-02-21;1592.75;1570.01;1590.09
2017-02-22;1593.88;1578.55;1582.13
2017-02-23;1593.61;1582.16;1588.3
2017-02-24;1589.51;1563.04;1569.86
2017-02-27;1577.06;1561.64;1564.63
2017-02-28;1572.73;1561.59;1570.17
2017-03-01;1594.56;1570.96;1591.37
2017-03-02;1594.46;1578.27;1580.53
2017-03-03;1585.61;1573.99;1581.32
2017-03-06;1581.29;1571.06;1575.52
2017-03-07;1578.25;1567.59;1575.77
2017-03-08;1583.22;1574.21;1578.23
2017-03-09;1585.44;1572.6;1583.73
2017-03-10;1595;1584.09;1587.93
2017-03-13;1599.83;1586.01;1594.71
2017-03-14;1595.16;1576.51;1586
2017-03-15;1590.23;1581.22;1588.89
2017-03-16;1603.06;1585.6;1593.25
2017-03-17;1593.94;1578.47;1584.97
2017-03-20;1587.79;1581.4;1583.25
2017-03-21;1588.63;1569;1570.88
2017-03-22;1569.94;1551.24;1562.96
2017-03-23;1581.57;1560.84;1581.28
2017-03-24;1582.04;1573.07;1579.7
2017-03-27;1578.31;1556.45;1574.51
2017-03-28;1581.3;1567.85;1580.09
2017-03-29;1587.08;1576.39;1584.43
2017-03-30;1585.17;1572.16;1583.88
2017-03-31;1590.52;1570.22;1587.63
2017-04-03;1591.13;1570.57;1571.41
2017-04-04;1578.62;1564.28;1567.3
2017-04-05;1568.42;1557.09;1558.56
2017-04-06;1564.07;1543.7;1564.05
2017-04-07;1569.73;1553.43;1569.67
2017-04-10;1572.61;1566.05;1572.47
2017-04-11;1577.63;1564.88;1570.91
2017-04-12;1585.45;1571.02;1575.02
2017-04-13;1575.85;1567.41;1572.81
2017-04-18;1576.71;1553.07;1557.21
2017-04-19;1571.22;1552.46;1565.73
2017-04-20;1571.67;1560.93;1568.74
2017-04-21;1578.26;1567.48;1573.25
2017-04-24;1609.27;1574.1;1609.27
2017-04-25;1620.64;1606.89;1617.05
2017-04-26;1621.94;1608.99;1620.28
2017-04-27;1620.74;1614.57;1616.58
2017-04-28;1627.73;1616.33;1626.99
2017-05-02;1636.51;1626.03;1636.51
2017-05-03;1636.5;1626.43;1633.99
2017-05-04;1640.71;1632.91;1638.33
2017-05-05;1642.04;1632.33;1642.04
2017-05-08;1645.8;1629.69;1639.49
2017-05-09;1654.54;1640.07;1653.11
2017-05-10;1652.14;1642.08;1649.65
2017-05-11;1649.17;1637.88;1642.02
2017-05-12;1647.28;1640.79;1646.45
2017-05-15;1650.73;1644.74;1649.84
2017-05-16;1657.13;1646.77;1653.06
2017-05-17;1653.06;1624.55;1628.37
2017-05-18;1628.52;1604.29;1615.27
2017-05-19;1631.81;1616.14;1629.21
2017-05-22;1635.61;1626.02;1629.21
2017-05-23;1641.77;1628.79;1641.71
2017-05-24;1641.71;1634.25;1638.89
2017-05-26;1640.12;1626.44;1635.77
2017-05-29;1636.02;1629.83;1631.91
2017-05-30;1640.08;1623.86;1639.74
2017-05-31;1650.26;1635.29;1639.11
2017-06-01;1646.81;1636.01;1641.32
2017-06-02;1656.02;1644.21;1646.67
2017-06-05;1649.3;1637.85;1637.9
2017-06-07;1648.47;1630.68;1640.54
2017-06-08;1651.72;1640.15;1643.77
2017-06-09;1656.09;1642.2;1654.8
2017-06-12;1654.65;1584.37;1638.8
2017-06-13;1653.52;1638.8;1648.61
2017-06-14;1657.2;1638.38;1639.59
2017-06-15;1641.52;1616.22;1624.97
2017-06-16;1638.42;1625.81;1635.93
2017-06-19;1655.08;1636.78;1653.4
2017-06-20;1658.87;1647.67;1647.67
2017-06-21;1647.67;1631.34;1641.71
2017-06-22;1645.36;1634.19;1645.36
2017-06-26;1654.88;1641.23;1643.52
2017-06-27;1643.52;1628.54;1628.54
2017-06-28;1630.98;1611.8;1630.98
2017-06-29;1643.72;1612.39;1613.22
2017-06-30;1620.48;1602.53;1602.53
2017-07-03;1628.55;1602.7;1627.41
2017-07-04;1627.29;1617.48;1621.67
2017-07-05;1629.27;1614.22;1627.21
2017-07-06;1627.21;1609.98;1620.99
2017-07-07;1623.17;1614.64;1617
2017-07-10;1627.81;1617;1624.81
2017-07-11;1631.29;1620.69;1621.57
2017-07-12;1650.7;1621.57;1650.59
2017-07-13;1651.15;1640.45;1642.49
2017-07-14;1649.83;1641.41;1646.83
2017-07-17;1651.63;1629.1;1639.33
