Lasso;Tree;Backward_Elimination;RecursiveTop29;RecursiveTop58;RecursiveTop87;Manual;All
MA250Norm;MA40Norm;MA8Norm;MA250Norm;MA250Norm;MA250Norm;MA100Norm;MA2Norm
MA225Norm;Stoch_Sd2177;MA18Norm;MA150Norm;MA150Norm;MA150Norm;MA125Norm;MA5Norm
Stoch_Sd211414;Stoch_Sd211414;MA40Norm;RSI25;RSI25;RSI25;MA150Norm;MA8Norm
;MA50Norm;MA75Norm;MA50Norm;MA50Norm;MA50Norm;MA200Norm;MA10Norm
;MA75Norm;MA100Norm;MA225Norm;MA225Norm;MA225Norm;MA225Norm;MA13Norm
;RSI25;MA125Norm;MA275Norm;MA275Norm;MA275Norm;MA250Norm;MA15Norm
;MA125Norm;MA150Norm;MA125Norm;MA125Norm;MA125Norm;MA325Norm;MA18Norm
;MA100Norm;MA200Norm;MA175Norm;MA175Norm;MA175Norm;MA350Norm;MA20Norm
;MA400Norm;MA325Norm;Stoch_Sk211414;Stoch_Sk211414;Stoch_Sk211414;MA40Norm;MA22Norm
;MA375Norm;MA350Norm;MA200Norm;MA200Norm;MA200Norm;MA75Norm;MA34Norm
;MA350Norm;MA8NormDiff;MA300Norm;MA300Norm;MA300Norm;RSI25;MA40Norm
;MA300Norm;MA125NormDiff;MA325Norm;MA325Norm;MA325Norm;Stoch_Sd211414;MA50Norm
;MA175Norm;MA175NormDiff;RSI20;RSI20;RSI20;;MA75Norm
;MA225Norm;MA225NormDiff;MA400Norm;MA400Norm;MA400Norm;;MA100Norm
;MA275Norm;MA300NormDiff;MA20Norm;MA20Norm;MA20Norm;;MA125Norm
;MA325Norm;MA325NormDiff;MA100Norm;MA100Norm;MA100Norm;;MA150Norm
;MA150Norm;MA375NormDiff;month_year__5;month_year__5;month_year__5;;MA175Norm
;MA200Norm;MA400NormDiff;RSI25_diff;RSI25_diff;RSI25_diff;;MA200Norm
;MA250Norm;RSI5;RSI3_diff;RSI3_diff;RSI3_diff;;MA225Norm
;;RSI9;MA22Norm;MA22Norm;MA22Norm;;MA250Norm
;;RSI10;month_year__10;month_year__10;month_year__10;;MA275Norm
;;RSI14;MA350Norm;MA350Norm;MA350Norm;;MA300Norm
;;RSI20;month_year__1;month_year__1;month_year__1;;MA325Norm
;;RSI25;MACDsig5_35_5Diff;MACDsig5_35_5Diff;MACDsig5_35_5Diff;;MA350Norm
;;RSI5_diff;MA375Norm;MA375Norm;MA375Norm;;MA375Norm
;;RSI14_diff;RSI20_diff;RSI20_diff;RSI20_diff;;MA400Norm
;;RSI20_diff;RSI14;RSI14;RSI14;;MA2NormDiff
;;Stoch_Sd1383;week_month__5;week_month__5;week_month__5;;MA5NormDiff
;;Stoch_Sk2177;day_of_month;day_of_month;day_of_month;;MA8NormDiff
;;Stoch_Sd211414;;week_month__6;week_month__6;;MA10NormDiff
;;day_of_year;;month_year__12;month_year__12;;MA13NormDiff
;;day_of_month;;RSI5_diff;RSI5_diff;;MA15NormDiff
;;month_year__1;;MA18NormDiff;MA18NormDiff;;MA18NormDiff
;;month_year__2;;Stoch_Sd533;Stoch_Sd533;;MA20NormDiff
;;month_year__3;;MA75Norm;MA75Norm;;MA22NormDiff
;;month_year__4;;month_year__2;month_year__2;;MA34NormDiff
;;month_year__5;;MA5NormDiff;MA5NormDiff;;MA40NormDiff
;;month_year__6;;MA15NormDiff;MA15NormDiff;;MA50NormDiff
;;month_year__7;;MACDsig12_26_9;MACDsig12_26_9;;MA75NormDiff
;;month_year__8;;MA40Norm;MA40Norm;;MA100NormDiff
;;month_year__9;;Stoch_Sd211414;Stoch_Sd211414;;MA125NormDiff
;;month_year__10;;RSI14_diff;RSI14_diff;;MA150NormDiff
;;month_year__11;;MA18Norm;MA18Norm;;MA175NormDiff
;;month_year__12;;MACDsig5_35_5;MACDsig5_35_5;;MA200NormDiff
;;;;month_year__3;month_year__3;;MA225NormDiff
;;;;MA5Norm;MA5Norm;;MA250NormDiff
;;;;RSI3;RSI3;;MA275NormDiff
;;;;month_year__7;month_year__7;;MA300NormDiff
;;;;Stoch_Sd2177;Stoch_Sd2177;;MA325NormDiff
;;;;MA8Norm;MA8Norm;;MA350NormDiff
;;;;MA2NormDiff;MA2NormDiff;;MA375NormDiff
;;;;RSI2_diff;RSI2_diff;;MA400NormDiff
;;;;MA13Norm;MA13Norm;;RSI2
;;;;MA225NormDiff;MA225NormDiff;;RSI3
;;;;Stoch_Sk1383;Stoch_Sk1383;;RSI5
;;;;week_of_year;week_of_year;;RSI9
;;;;RSI5;RSI5;;RSI10
