id;Time;High;Low;Close
400;1988-05-09;129.71;129.71;129.71
401;1988-05-10;129.84;129.84;129.84
402;1988-05-11;128.78;128.78;128.78
403;1988-05-13;128.66;128.66;128.66
404;1988-05-16;129.95;129.95;129.95
405;1988-05-17;130.94;130.94;130.94
406;1988-05-18;132.3;132.3;132.3
407;1988-05-19;131.43;131.43;131.43
408;1988-05-20;132.77;132.77;132.77
409;1988-05-24;132.76;132.76;132.76
410;1988-05-25;134.78;134.78;134.78
411;1988-05-26;135.46;135.46;135.46
412;1988-05-27;135.19;135.19;135.19
413;1988-05-30;135.4;135.4;135.4
414;1988-05-31;137.47;137.47;137.47
415;1988-06-01;138.87;138.87;138.87
416;1988-06-02;137.48;137.48;137.48
417;1988-06-03;137.12;137.12;137.12
418;1988-06-06;137.47;137.47;137.47
419;1988-06-07;137.11;137.11;137.11
420;1988-06-08;136.95;136.95;136.95
421;1988-06-09;137.65;137.65;137.65
422;1988-06-10;137.03;137.03;137.03
423;1988-06-13;136.16;136.16;136.16
424;1988-06-14;136.55;136.55;136.55
425;1988-06-15;137.92;137.92;137.92
426;1988-06-16;138.16;138.16;138.16
427;1988-06-17;137.33;137.33;137.33
428;1988-06-20;136.4;136.4;136.4
429;1988-06-21;135.12;135.12;135.12
430;1988-06-22;136.2;136.2;136.2
431;1988-06-23;137.07;137.07;137.07
432;1988-06-27;135.73;135.73;135.73
433;1988-06-28;133.84;133.84;133.84
434;1988-06-29;134.68;134.68;134.68
435;1988-06-30;134.09;134.09;134.09
436;1988-07-01;135.65;135.65;135.65
437;1988-07-04;135.73;135.73;135.73
438;1988-07-05;135.52;135.52;135.52
439;1988-07-06;136.96;136.96;136.96
440;1988-07-07;137.65;137.65;137.65
441;1988-07-08;138.01;138.01;138.01
442;1988-07-11;137.13;137.13;137.13
443;1988-07-12;137.3;137.3;137.3
444;1988-07-13;136.74;136.74;136.74
445;1988-07-14;136.61;136.61;136.61
446;1988-07-15;136.69;136.69;136.69
447;1988-07-18;137.0;137.0;137.0
448;1988-07-19;136.63;136.63;136.63
449;1988-07-20;137.74;137.74;137.74
450;1988-07-21;138.7;138.7;138.7
451;1988-07-22;138.44;138.44;138.44
452;1988-07-25;138.01;138.01;138.01
453;1988-07-26;138.33;138.33;138.33
454;1988-07-27;138.86;138.86;138.86
455;1988-07-28;139.03;139.03;139.03
456;1988-07-29;139.92;139.92;139.92
457;1988-08-01;141.89;141.89;141.89
458;1988-08-02;141.47;141.47;141.47
459;1988-08-03;141.52;141.52;141.52
460;1988-08-04;141.87;141.87;141.87
461;1988-08-05;141.76;141.76;141.76
462;1988-08-08;139.98;139.98;139.98
463;1988-08-09;138.24;138.24;138.24
464;1988-08-10;135.02;135.02;135.02
465;1988-08-11;133.76;133.76;133.76
466;1988-08-12;135.18;135.18;135.18
467;1988-08-15;133.68;133.68;133.68
468;1988-08-16;133.56;133.56;133.56
469;1988-08-17;133.94;133.94;133.94
470;1988-08-18;134.98;134.98;134.98
471;1988-08-19;135.15;135.15;135.15
472;1988-08-22;134.77;134.77;134.77
473;1988-08-23;132.86;132.86;132.86
474;1988-08-24;133.46;133.46;133.46
475;1988-08-25;131.85;131.85;131.85
476;1988-08-26;131.35;131.35;131.35
477;1988-08-29;130.85;130.85;130.85
478;1988-08-30;132.07;132.07;132.07
479;1988-08-31;133.25;133.25;133.25
480;1988-09-01;132.6;132.6;132.6
481;1988-09-02;132.67;132.67;132.67
482;1988-09-05;133.48;133.48;133.48
483;1988-09-06;134.35;134.35;134.35
484;1988-09-07;134.52;134.52;134.52
485;1988-09-08;134.76;134.76;134.76
486;1988-09-09;135.44;135.44;135.44
487;1988-09-12;136.57;136.57;136.57
488;1988-09-13;137.1;137.1;137.1
489;1988-09-14;137.06;137.06;137.06
490;1988-09-15;136.98;136.98;136.98
491;1988-09-16;136.54;136.54;136.54
492;1988-09-19;138.58;138.58;138.58
493;1988-09-20;139.16;139.16;139.16
494;1988-09-21;140.32;140.32;140.32
495;1988-09-22;142.1;142.1;142.1
496;1988-09-23;141.91;141.91;141.91
497;1988-09-26;141.92;141.92;141.92
498;1988-09-27;141.24;141.24;141.24
499;1988-09-28;140.79;140.79;140.79
500;1988-09-29;141.32;141.32;141.32
501;1988-09-30;141.9;141.9;141.9
502;1988-10-03;142.63;142.63;142.63
503;1988-10-04;142.89;142.89;142.89
504;1988-10-05;143.43;143.43;143.43
505;1988-10-06;144.7;144.7;144.7
506;1988-10-07;144.85;144.85;144.85
507;1988-10-10;145.79;145.79;145.79
508;1988-10-11;145.25;145.25;145.25
509;1988-10-12;144.98;144.98;144.98
510;1988-10-13;144.11;144.11;144.11
511;1988-10-14;145.99;145.99;145.99
512;1988-10-17;145.13;145.13;145.13
