Lasso;Tree;Backward_Elimination;RecursiveTop14;RecursiveTop28;RecursiveTop42;RecursiveTop56;Manual;All
MA250Norm;month_of_year;MA20Norm;MA250Norm;MA250Norm;MA250Norm;MA250Norm;MA100Norm;MA2Norm
MA225Norm;day_of_year;MA75Norm;MA275Norm;MA275Norm;MA275Norm;MA275Norm;MA125Norm;MA5Norm
MA5Norm;MA50Norm;MA100Norm;MA325Norm;MA325Norm;MA325Norm;MA325Norm;MA150Norm;MA10Norm
MA10Norm;RSI14;MA125Norm;MA400Norm;MA400Norm;MA400Norm;MA400Norm;MA200Norm;MA18Norm
MA20Norm;week_of_year;MA150Norm;MA75Norm;MA75Norm;MA75Norm;MA75Norm;MA20Norm;MA20Norm
RSI25;RSI25;MA200Norm;RSI25;RSI25;RSI25;RSI25;MA225Norm;MA40Norm
;RSI20;MA225Norm;RSI20;RSI20;RSI20;RSI20;MA250Norm;MA50Norm
;MA75Norm;MA250Norm;MA150Norm;MA150Norm;MA150Norm;MA150Norm;MA375Norm;MA75Norm
;MA125Norm;MA375Norm;MA5Norm;MA5Norm;MA5Norm;MA5Norm;MA75Norm;MA100Norm
;MA100Norm;MA75NormDiff;RSI2;RSI2;RSI2;RSI2;RSI14;MA125Norm
;MA150Norm;MA125NormDiff;MA50Norm;MA50Norm;MA50Norm;MA50Norm;RSI20;MA150Norm
;MA175Norm;MA175NormDiff;MA10Norm;MA10Norm;MA10Norm;MA10Norm;RSI25;MA175Norm
;MA300Norm;MA225NormDiff;MA225Norm;MA225Norm;MA225Norm;MA225Norm;day_of_year;MA200Norm
;MA400Norm;MA325NormDiff;MA20Norm;MA20Norm;MA20Norm;MA20Norm;month_of_year;MA225Norm
;MA325Norm;MA350NormDiff;;MA125Norm;MA125Norm;MA125Norm;;MA250Norm
;MA350Norm;MA375NormDiff;;MACD12_26_9;MACD12_26_9;MACD12_26_9;;MA275Norm
;MA375Norm;MA400NormDiff;;MA200Norm;MA200Norm;MA200Norm;;MA300Norm
;MA250Norm;RSI5;;MA175Norm;MA175Norm;MA175Norm;;MA325Norm
;MA225Norm;RSI14;;MA50NormDiff;MA50NormDiff;MA50NormDiff;;MA350Norm
;MA275Norm;RSI20;;RSI14;RSI14;RSI14;;MA375Norm
;MA200Norm;RSI25;;RSI5;RSI5;RSI5;;MA400Norm
;;month_of_year;;MA2NormDiff;MA2NormDiff;MA2NormDiff;;MA2NormDiff
;;day_of_year;;MA5NormDiff;MA5NormDiff;MA5NormDiff;;MA5NormDiff
;;day_of_month;;MA18Norm;MA18Norm;MA18Norm;;MA10NormDiff
;;;;MA300Norm;MA300Norm;MA300Norm;;MA18NormDiff
;;;;day_of_week;day_of_week;day_of_week;;MA20NormDiff
;;;;MA40NormDiff;MA40NormDiff;MA40NormDiff;;MA40NormDiff
;;;;MA18NormDiff;MA18NormDiff;MA18NormDiff;;MA50NormDiff
;;;;;MA375Norm;MA375Norm;;MA75NormDiff
;;;;;MA350Norm;MA350Norm;;MA100NormDiff
;;;;;MA75NormDiff;MA75NormDiff;;MA125NormDiff
;;;;;MA350NormDiff;MA350NormDiff;;MA150NormDiff
;;;;;MA100Norm;MA100Norm;;MA175NormDiff
;;;;;MA125NormDiff;MA125NormDiff;;MA200NormDiff
;;;;;MA375NormDiff;MA375NormDiff;;MA225NormDiff
;;;;;MA225NormDiff;MA225NormDiff;;MA250NormDiff
;;;;;week_of_year;week_of_year;;MA275NormDiff
;;;;;month_of_year;month_of_year;;MA300NormDiff
;;;;;MA200NormDiff;MA200NormDiff;;MA325NormDiff
;;;;;day_of_year;day_of_year;;MA350NormDiff
;;;;;MA40Norm;MA40Norm;;MA375NormDiff
;;;;;MA400NormDiff;MA400NormDiff;;MA400NormDiff
;;;;;;MA275NormDiff;;RSI2
;;;;;;MA150NormDiff;;RSI5
;;;;;;MA20NormDiff;;RSI14
;;;;;;Stoch_slowk13;;RSI20
;;;;;;MA325NormDiff;;RSI25
;;;;;;MA175NormDiff;;Stoch_slowk13
;;;;;;MA2Norm;;Stoch_slowd8
;;;;;;MACD12_26_9Diff;;MACD12_26_9
;;;;;;MA10NormDiff;;MACD12_26_9Diff
;;;;;;MA250NormDiff;;MACD12_26_9DiffDirChange
;;;;;;MA300NormDiff;;month_of_year
;;;;;;day_of_month;;week_of_year
;;;;;;MA100NormDiff;;day_of_year
;;;;;;MACD12_26_9DiffDirChange;;day_of_month
;;;;;;;;day_of_week
