Lasso;Tree;Backward_Elimination;RecursiveTop32;RecursiveTop64;RecursiveTop96;Manual;All
MA150Norm;Stoch_Sk211414;NormKurs20;MA325Norm;MA325Norm;MA325Norm;MA100Norm;NormKurs5
NumberRise50;RSI_20;NormKurs50;MA400Norm;MA400Norm;MA400Norm;MA125Norm;NormKurs20
NormKurs20;MA75Norm;NormKurs100;MA175Norm;MA175Norm;MA175Norm;MA150Norm;NormKurs50
NumberRise20;NumberRise50;NormKurs200;NumberRise200;NumberRise200;NumberRise200;MA175Norm;NormKurs100
MACD_12_26_9Diff;NumberRise200;NumberRise5;MA125Norm;MA125Norm;MA125Norm;MA200Norm;NormKurs200
MACDS_12_26_9Diff;NormKurs50;NumberRise50;NumberRise50;NumberRise50;NumberRise50;MA225Norm;NumberRise5
RSI_14;MA125Norm;NumberRise100;NormKurs200;NormKurs200;NormKurs200;MA250Norm;NumberRise20
NumberRise5;MA100Norm;NumberRise200;RSI_25;RSI_25;RSI_25;MA300Norm;NumberRise50
month_year__10;MA275Norm;MA5Norm;MA50Norm;MA50Norm;MA50Norm;MA325Norm;NumberRise100
RSI3sign;MA325Norm;MA34Norm;MA50NormDiff;MA50NormDiff;MA50NormDiff;MA375Norm;NumberRise200
MACD_5_35_5;NumberRise100;MA100Norm;RSI14_diff;RSI14_diff;RSI14_diff;MA400Norm;MA2Norm
month_year__9;MA175Norm;MA125Norm;month_year__9;month_year__9;month_year__9;MACD_12_26_9Diff;MA5Norm
month_year__1;MA375Norm;MA175Norm;MA40Norm;MA40Norm;MA40Norm;MACD_5_35_5;MA8Norm
month_year__6;MA250Norm;MA200Norm;MA34Norm;MA34Norm;MA34Norm;NormKurs100;MA10Norm
month_year__7;MA150Norm;MA225Norm;MA225Norm;MA225Norm;MA225Norm;NormKurs20;MA13Norm
month_year__5;MA300Norm;MA250Norm;MA2NormDiff;MA2NormDiff;MA2NormDiff;NormKurs200;MA15Norm
NumberRise200;MA400Norm;MA300Norm;NormKurs5;NormKurs5;NormKurs5;NormKurs50;MA18Norm
NormKurs200;NormKurs100;MA325Norm;NumberRise5;NumberRise5;NumberRise5;NumberRise100;MA20Norm
;MA350Norm;MA375Norm;MA275Norm;MA275Norm;MA275Norm;NumberRise200;MA22Norm
;MA225Norm;MA400Norm;Stoch_Sk211414;Stoch_Sk211414;Stoch_Sk211414;NumberRise5;MA34Norm
;MA200Norm;MA13NormDiff;MACD_12_26_9Diff;MACD_12_26_9Diff;MACD_12_26_9Diff;NumberRise50;MA40Norm
;NormKurs200;MA34NormDiff;MA250Norm;MA250Norm;MA250Norm;RSI3sign;MA50Norm
;;MA50NormDiff;MA20NormDiff;MA20NormDiff;MA20NormDiff;RSI_14;MA75Norm
;;MA75NormDiff;Stoch_Sd2177;Stoch_Sd2177;Stoch_Sd2177;Stoch_Sk211414;MA100Norm
;;MA150NormDiff;MA200Norm;MA200Norm;MA200Norm;month_year__1;MA125Norm
;;MA200NormDiff;month_year__6;month_year__6;month_year__6;month_year__10;MA150Norm
;;MA225NormDiff;RSI_20;RSI_20;RSI_20;month_year__5;MA175Norm
;;MA325NormDiff;month_year__1;month_year__1;month_year__1;month_year__6;MA200Norm
;;MA375NormDiff;NormKurs100;NormKurs100;NormKurs100;month_year__7;MA225Norm
;;MA400NormDiff;week_of_year;week_of_year;week_of_year;month_year__9;MA250Norm
;;RSI_3;MA300Norm;MA300Norm;MA300Norm;;MA275Norm
;;RSI_5;month_year__12;month_year__12;month_year__12;;MA300Norm
;;RSI_9;;Stoch_Sd211414;Stoch_Sd211414;;MA325Norm
;;RSI_10;;MA125NormDiff;MA125NormDiff;;MA350Norm
;;RSI_14;;MACD_5_35_5Diff;MACD_5_35_5Diff;;MA375Norm
;;RSI3sign;;MA100NormDiff;MA100NormDiff;;MA400Norm
;;Stoch_Sd1383;;MA75Norm;MA75Norm;;MA2NormDiff
;;Stoch_Sk2177;;MA150Norm;MA150Norm;;MA5NormDiff
;;Stoch_Sd2177;;month_year__4;month_year__4;;MA8NormDiff
;;Stoch_Sk211414;;MA75NormDiff;MA75NormDiff;;MA10NormDiff
;;Stoch_Sd211414;;week_month__6;week_month__6;;MA13NormDiff
;;Stoch_Sk31414;;MA100Norm;MA100Norm;;MA15NormDiff
;;Stoch_Sd31414;;week_month__1;week_month__1;;MA18NormDiff
;;MACDS_12_26_9;;day_week__3;day_week__3;;MA20NormDiff
;;MACD_5_35_5;;RSI_2;RSI_2;;MA22NormDiff
;;MACD_12_26_9Diff;;RSI20_diff;RSI20_diff;;MA34NormDiff
;;MACD_5_35_5Diff;;week_month__4;week_month__4;;MA40NormDiff
;;MACDS_5_35_5Diff;;MA350Norm;MA350Norm;;MA50NormDiff
;;day_of_year;;Stoch_Sk31414;Stoch_Sk31414;;MA75NormDiff
;;day_of_month;;MA22NormDiff;MA22NormDiff;;MA100NormDiff
;;month_year__1;;MA375Norm;MA375Norm;;MA125NormDiff
;;month_year__2;;day_week__0;day_week__0;;MA150NormDiff
;;month_year__3;;Stoch_Sk2177;Stoch_Sk2177;;MA175NormDiff
;;month_year__4;;MA34NormDiff;MA34NormDiff;;MA200NormDiff
;;month_year__5;;MACD_12_26_9;MACD_12_26_9;;MA225NormDiff
;;month_year__6;;MA40NormDiff;MA40NormDiff;;MA250NormDiff
;;month_year__7;;RSI10_diff;RSI10_diff;;MA275NormDiff
;;month_year__8;;Stoch_Sd31414;Stoch_Sd31414;;MA300NormDiff
;;month_year__9;;MACDS_5_35_5Diff;MACDS_5_35_5Diff;;MA325NormDiff
;;month_year__10;;RSI_3;RSI_3;;MA350NormDiff
;;month_year__11;;MA18NormDiff;MA18NormDiff;;MA375NormDiff
;;month_year__12;;week_month__3;week_month__3;;MA400NormDiff
;;;;RSI3sign;RSI3sign;;RSI_2
;;;;RSI_14;RSI_14;;RSI_3
;;;;;RSI_5;;RSI_5
;;;;;MACDS_5_35_5DiffDirChange;;RSI_9
;;;;;month_year__3;;RSI_10
;;;;;NumberRise20;;RSI_14
;;;;;NormKurs50;;RSI_20
;;;;;month_year__2;;RSI_25
;;;;;MA150NormDiff;;RSI2_diff
;;;;;day_of_year;;RSI3_diff
;;;;;month_year__8;;RSI5_diff
;;;;;RSI9_diff;;RSI9_diff
;;;;;MA175NormDiff;;RSI10_diff
;;;;;day_of_month;;RSI14_diff
;;;;;Stoch_Sd1383;;RSI20_diff
;;;;;MA10NormDiff;;RSI25_diff
;;;;;RSI25_diff;;RSI3sign
;;;;;MACDS_12_26_9Diff;;Stoch_Sk1383
;;;;;month_year__11;;Stoch_Sd1383
;;;;;MA22Norm;;Stoch_Sk533
;;;;;MA2Norm;;Stoch_Sd533
;;;;;RSI5_diff;;Stoch_Sk2177
;;;;;day_week__4;;Stoch_Sd2177
;;;;;day_week__2;;Stoch_Sk211414
;;;;;day_week__1;;Stoch_Sd211414
;;;;;MA225NormDiff;;Stoch_Sk31414
;;;;;month_year__7;;Stoch_Sd31414
;;;;;month_year__5;;MACD_12_26_9
;;;;;MACD_12_26_9DiffDirChange;;MACDS_12_26_9
;;;;;MA13NormDiff;;MACD_5_35_5
;;;;;MACDS_12_26_9DiffDirChange;;MACDS_5_35_5
;;;;;MA200NormDiff;;MACD_12_26_9Diff
;;;;;MA10Norm;;MACDS_12_26_9Diff
;;;;;Stoch_Sd533;;MACD_5_35_5Diff
;;;;;;;MACDS_5_35_5Diff
;;;;;;;MACD_12_26_9DiffDirChange
;;;;;;;MACDS_12_26_9DiffDirChange
;;;;;;;MACD_5_35_5DiffDirChange
;;;;;;;MACDS_5_35_5DiffDirChange
;;;;;;;week_of_year
;;;;;;;day_of_year
;;;;;;;day_of_month
;;;;;;;day_week__0
;;;;;;;day_week__1
;;;;;;;day_week__2
;;;;;;;day_week__3
;;;;;;;day_week__4
;;;;;;;month_year__1
;;;;;;;month_year__2
;;;;;;;month_year__3
;;;;;;;month_year__4
;;;;;;;month_year__5
;;;;;;;month_year__6
;;;;;;;month_year__7
;;;;;;;month_year__8
;;;;;;;month_year__9
;;;;;;;month_year__10
;;;;;;;month_year__11
;;;;;;;month_year__12
;;;;;;;week_month__1
;;;;;;;week_month__2
;;;;;;;week_month__3
;;;;;;;week_month__4
;;;;;;;week_month__5
;;;;;;;week_month__6
