Lasso;Tree;Backward_Elimination;RecursiveTop32;RecursiveTop64;RecursiveTop96;Manual;All
RSI3;Stoch_Sk211414;NormKurs5;Stoch_Sk2177;Stoch_Sk2177;Stoch_Sk2177;MA10Norm;NormKurs5
NormKurs5;MACD5_35_5Diff;NormKurs20;NormKurs5;NormKurs5;NormKurs5;MA15Norm;NormKurs20
MA5Norm;MACDsig5_35_5;MA5Norm;MACD5_35_5Diff;MACD5_35_5Diff;MACD5_35_5Diff;MA200Norm;NormKurs50
MACD5_35_5Diff;Stoch_Sd533;MA8Norm;MACDsig5_35_5Diff;MACDsig5_35_5Diff;MACDsig5_35_5Diff;MA5Norm;NormKurs100
MA13Norm;RSI5;MA10Norm;month_year__10;month_year__10;month_year__10;MA5NormDiff;NormKurs200
MA10Norm;MACDsig12_26_9Diff;MA15Norm;Stoch_Sd31414;Stoch_Sd31414;Stoch_Sd31414;MACD5_35_5Diff;NumberRise5
NumberRise20;Stoch_Sd31414;MA20Norm;RSI2_diff;RSI2_diff;RSI2_diff;MACDsig5_35_5;NumberRise20
month_year__9;MA5Norm;MA34Norm;Stoch_Sk31414;Stoch_Sk31414;Stoch_Sk31414;MACDsig5_35_5Diff;NumberRise50
month_year__2;RSI3;MA40Norm;month_year__2;month_year__2;month_year__2;NormKurs20;NumberRise100
RSI3sign;Stoch_Sk31414;MA200Norm;Stoch_Sk533;Stoch_Sk533;Stoch_Sk533;NormKurs5;NumberRise200
MACDsig12_26_9DiffDirChange;RSI2;MA225Norm;Stoch_Sd1383;Stoch_Sd1383;Stoch_Sd1383;RSI2;MA2Norm
MA15Norm;Stoch_Sd2177;MA325Norm;MACD5_35_5DiffDirChange;MACD5_35_5DiffDirChange;MACD5_35_5DiffDirChange;RSI3;MA5Norm
month_year__5;NormKurs20;MA350Norm;RSI2;RSI2;RSI2;Stoch_Sd2177;MA8Norm
RSI2;Stoch_Sk533;MA375Norm;week_month__6;week_month__6;week_month__6;Stoch_Sd533;MA10Norm
month_year__11;MACD5_35_5DiffDirChange;MA5NormDiff;MA325NormDiff;MA325NormDiff;MA325NormDiff;Stoch_Sk211414;MA13Norm
week_month__6;Stoch_Sd1383;MA8NormDiff;MA400Norm;MA400Norm;MA400Norm;Stoch_Sk2177;MA15Norm
MACD12_26_9DiffDirChange;NormKurs5;MA20NormDiff;RSI5;RSI5;RSI5;month_year__10;MA18Norm
day_week__1;Stoch_Sk2177;MA125NormDiff;MA8Norm;MA8Norm;MA8Norm;month_year__11;MA20Norm
month_year__10;Stoch_Sk1383;MA150NormDiff;NumberRise20;NumberRise20;NumberRise20;month_year__3;MA22Norm
NormKurs200;;MA175NormDiff;MA225Norm;MA225Norm;MA225Norm;month_year__9;MA34Norm
week_of_year;;MA200NormDiff;NumberRise100;NumberRise100;NumberRise100;;MA40Norm
day_week__3;;MA350NormDiff;NumberRise200;NumberRise200;NumberRise200;;MA50Norm
MA200Norm;;MA375NormDiff;MA5Norm;MA5Norm;MA5Norm;;MA75Norm
day_week__4;;MA400NormDiff;NormKurs20;NormKurs20;NormKurs20;;MA100Norm
week_month__2;;RSI3;MA5NormDiff;MA5NormDiff;MA5NormDiff;;MA125Norm
Stoch_Sd211414;;RSI5_diff;NormKurs100;NormKurs100;NormKurs100;;MA150Norm
MA5NormDiff;;Stoch_Sd2177;NormKurs50;NormKurs50;NormKurs50;;MA175Norm
day_week__0;;Stoch_Sk211414;NumberRise5;NumberRise5;NumberRise5;;MA200Norm
NumberRise100;;MACD5_35_5;MA10Norm;MA10Norm;MA10Norm;;MA225Norm
month_year__12;;MACDsig5_35_5;RSI20_diff;RSI20_diff;RSI20_diff;;MA250Norm
Stoch_Sd533;;MACDsig5_35_5Diff;day_week__2;day_week__2;day_week__2;;MA275Norm
NumberRise200;;day_of_year;day_week__0;day_week__0;day_week__0;;MA300Norm
month_year__3;;month_year__3;;day_week__4;day_week__4;;MA325Norm
month_year__8;;month_year__9;;Stoch_Sk1383;Stoch_Sk1383;;MA350Norm
MACD12_26_9Diff;;month_year__10;;MACDsig12_26_9Diff;MACDsig12_26_9Diff;;MA375Norm
MA2NormDiff;;month_year__11;;Stoch_Sd2177;Stoch_Sd2177;;MA400Norm
Stoch_Sk211414;;;;Stoch_Sd211414;Stoch_Sd211414;;MA2NormDiff
MACDsig5_35_5Diff;;;;RSI3;RSI3;;MA5NormDiff
RSI25_diff;;;;MACDsig5_35_5DiffDirChange;MACDsig5_35_5DiffDirChange;;MA8NormDiff
RSI2_diff;;;;NumberRise50;NumberRise50;;MA10NormDiff
NormKurs20;;;;month_year__7;month_year__7;;MA13NormDiff
;;;;month_year__11;month_year__11;;MA15NormDiff
;;;;MA350NormDiff;MA350NormDiff;;MA18NormDiff
;;;;MA400NormDiff;MA400NormDiff;;MA20NormDiff
;;;;day_week__1;day_week__1;;MA22NormDiff
;;;;day_week__3;day_week__3;;MA34NormDiff
;;;;month_year__3;month_year__3;;MA40NormDiff
;;;;RSI25_diff;RSI25_diff;;MA50NormDiff
;;;;NormKurs200;NormKurs200;;MA75NormDiff
;;;;MACDsig5_35_5;MACDsig5_35_5;;MA100NormDiff
;;;;MACDsig12_26_9;MACDsig12_26_9;;MA125NormDiff
;;;;MACD5_35_5;MACD5_35_5;;MA150NormDiff
;;;;MA200Norm;MA200Norm;;MA175NormDiff
;;;;MA375Norm;MA375Norm;;MA200NormDiff
;;;;MA375NormDiff;MA375NormDiff;;MA225NormDiff
;;;;MA8NormDiff;MA8NormDiff;;MA250NormDiff
;;;;day_of_year;day_of_year;;MA275NormDiff
;;;;week_month__4;week_month__4;;MA300NormDiff
;;;;week_month__3;week_month__3;;MA325NormDiff
;;;;week_month__1;week_month__1;;MA350NormDiff
;;;;month_year__8;month_year__8;;MA375NormDiff
;;;;month_year__9;month_year__9;;MA400NormDiff
;;;;RSI3sign;RSI3sign;;RSI2
;;;;MA300NormDiff;MA300NormDiff;;RSI3
;;;;;MA20NormDiff;;RSI5
;;;;;MA13Norm;;RSI9
;;;;;RSI9;;RSI10
;;;;;RSI3_diff;;RSI14
;;;;;MACD12_26_9Diff;;RSI20
;;;;;MA250Norm;;RSI25
;;;;;RSI25;;RSI2_diff
;;;;;MA250NormDiff;;RSI3_diff
;;;;;month_year__4;;RSI5_diff
;;;;;month_year__6;;RSI9_diff
;;;;;MA350Norm;;RSI10_diff
;;;;;RSI10;;RSI14_diff
;;;;;Stoch_Sd533;;RSI20_diff
;;;;;RSI14_diff;;RSI25_diff
;;;;;MA2NormDiff;;RSI3sign
;;;;;MA34Norm;;Stoch_Sk1383
;;;;;MA50Norm;;Stoch_Sd1383
;;;;;week_month__2;;Stoch_Sk533
;;;;;MA15Norm;;Stoch_Sd533
;;;;;MA275NormDiff;;Stoch_Sk2177
;;;;;MACD12_26_9;;Stoch_Sd2177
;;;;;MA75Norm;;Stoch_Sk211414
;;;;;MA125Norm;;Stoch_Sd211414
;;;;;MA275Norm;;Stoch_Sk31414
;;;;;month_year__1;;Stoch_Sd31414
;;;;;MA18Norm;;MACD12_26_9
;;;;;MA22NormDiff;;MACDsig12_26_9
;;;;;week_month__5;;MACD5_35_5
;;;;;MA40NormDiff;;MACDsig5_35_5
;;;;;MA225NormDiff;;MACD12_26_9Diff
;;;;;RSI20;;MACDsig12_26_9Diff
;;;;;MA50NormDiff;;MACD5_35_5Diff
;;;;;;;MACDsig5_35_5Diff
;;;;;;;MACD12_26_9DiffDirChange
;;;;;;;MACDsig12_26_9DiffDirChange
;;;;;;;MACD5_35_5DiffDirChange
;;;;;;;MACDsig5_35_5DiffDirChange
;;;;;;;week_of_year
;;;;;;;day_of_year
;;;;;;;day_of_month
;;;;;;;day_week__0
;;;;;;;day_week__1
;;;;;;;day_week__2
;;;;;;;day_week__3
;;;;;;;day_week__4
;;;;;;;month_year__1
;;;;;;;month_year__2
;;;;;;;month_year__3
;;;;;;;month_year__4
;;;;;;;month_year__5
;;;;;;;month_year__6
;;;;;;;month_year__7
;;;;;;;month_year__8
;;;;;;;month_year__9
;;;;;;;month_year__10
;;;;;;;month_year__11
;;;;;;;month_year__12
;;;;;;;week_month__1
;;;;;;;week_month__2
;;;;;;;week_month__3
;;;;;;;week_month__4
;;;;;;;week_month__5
;;;;;;;week_month__6
