Lasso;Tree;Backward_Elimination;RecursiveTop32;RecursiveTop64;RecursiveTop96;Manual;All
MA150Norm;Stoch_Sd211414;NormKurs20;NormKurs200;NormKurs200;NormKurs200;MA100Norm;NormKurs5
NormKurs20;Stoch_Sk211414;NormKurs50;MA150Norm;MA150Norm;MA150Norm;MA125Norm;NormKurs20
NumberRise50;RSI20;NormKurs100;NumberRise200;NumberRise200;NumberRise200;MA150Norm;NormKurs50
NumberRise20;NormKurs50;NormKurs200;MA125Norm;MA125Norm;MA125Norm;MA175Norm;NormKurs100
NumberRise5;NumberRise200;NumberRise5;NumberRise50;NumberRise50;NumberRise50;MA200Norm;NormKurs200
MACD5_35_5Diff;NumberRise50;NumberRise50;RSI20;RSI20;RSI20;MA250Norm;NumberRise5
month_year__10;MA100Norm;NumberRise100;MA100Norm;MA100Norm;MA100Norm;MA300Norm;NumberRise20
MACD12_26_9Diff;MA125Norm;NumberRise200;MA275Norm;MA275Norm;MA275Norm;MA325Norm;NumberRise50
RSI14;MA275Norm;MA10Norm;NormKurs50;NormKurs50;NormKurs50;MA375Norm;NumberRise100
MACD5_35_5;MA400Norm;MA20Norm;MA75Norm;MA75Norm;MA75Norm;MA400Norm;NumberRise200
month_year__11;NumberRise100;MA100Norm;MA175Norm;MA175Norm;MA175Norm;MA50NormDiff;MA2Norm
month_year__9;MA325Norm;MA125Norm;RSI5;RSI5;RSI5;MACD5_35_5;MA5Norm
Stoch_Sk1383;MA175Norm;MA175Norm;MA250Norm;MA250Norm;MA250Norm;MACD5_35_5Diff;MA8Norm
month_year__1;MA250Norm;MA200Norm;month_year__9;month_year__9;month_year__9;NormKurs100;MA10Norm
MACDsig5_35_5Diff;MA150Norm;MA250Norm;MA300Norm;MA300Norm;MA300Norm;NormKurs20;MA13Norm
RSI3sign;MA350Norm;MA300Norm;day_week__3;day_week__3;day_week__3;NormKurs200;MA15Norm
MA50NormDiff;MA375Norm;MA325Norm;MA350Norm;MA350Norm;MA350Norm;NormKurs50;MA18Norm
MA5Norm;MA300Norm;MA375Norm;MA225Norm;MA225Norm;MA225Norm;NumberRise100;MA20Norm
MA100NormDiff;NormKurs100;MA400Norm;Stoch_Sk1383;Stoch_Sk1383;Stoch_Sk1383;NumberRise200;MA22Norm
month_year__6;MA225Norm;MA34NormDiff;MA325Norm;MA325Norm;MA325Norm;NumberRise5;MA34Norm
month_year__7;MA200Norm;MA50NormDiff;month_year__5;month_year__5;month_year__5;NumberRise50;MA40Norm
month_year__5;NormKurs200;MA75NormDiff;RSI25;RSI25;RSI25;RSI14;MA50Norm
NumberRise200;;MA150NormDiff;NormKurs100;NormKurs100;NormKurs100;RSI20;MA75Norm
