Lasso;Tree;Backward_Elimination;RecursiveTop32;RecursiveTop64;RecursiveTop96;Manual;All
MA150Norm;Stoch_Sk211414;NormKurs20;MA325Norm;MA325Norm;MA325Norm;MA100Norm;NormKurs5
NumberRise50;RSI_20;NormKurs50;MA375Norm;MA375Norm;MA375Norm;MA125Norm;NormKurs20
NormKurs20;MA75Norm;NormKurs100;MA22NormDiff;MA22NormDiff;MA22NormDiff;MA150Norm;NormKurs50
NumberRise20;NumberRise50;NormKurs200;MA18NormDiff;MA18NormDiff;MA18NormDiff;MA175Norm;NormKurs100
MACD_12_26_9Diff;NumberRise200;NumberRise5;MA150Norm;MA150Norm;MA150Norm;MA200Norm;NormKurs200
MACDS_12_26_9Diff;NormKurs50;NumberRise50;RSI_25;RSI_25;RSI_25;MA225Norm;NumberRise5
RSI_14;MA125Norm;NumberRise100;RSI_14;RSI_14;RSI_14;MA250Norm;NumberRise20
NumberRise5;MA100Norm;NumberRise200;NormKurs200;NormKurs200;NormKurs200;MA300Norm;NumberRise50
month_year__10;MA275Norm;MA5Norm;MA75Norm;MA75Norm;MA75Norm;MA325Norm;NumberRise100
RSI3sign;MA325Norm;MA34Norm;MA300Norm;MA300Norm;MA300Norm;MA375Norm;NumberRise200
MACD_5_35_5;NumberRise100;MA100Norm;RSI_3;RSI_3;RSI_3;MA400Norm;MA2Norm
month_year__9;MA175Norm;MA125Norm;RSI_2;RSI_2;RSI_2;MACD_12_26_9Diff;MA5Norm
month_year__1;MA375Norm;MA175Norm;NumberRise200;NumberRise200;NumberRise200;MACD_5_35_5;MA8Norm
month_year__6;MA250Norm;MA200Norm;RSI_10;RSI_10;RSI_10;NormKurs100;MA10Norm
month_year__7;MA150Norm;MA225Norm;MA225Norm;MA225Norm;MA225Norm;NormKurs20;MA13Norm
month_year__5;MA300Norm;MA250Norm;MA125Norm;MA125Norm;MA125Norm;NormKurs200;MA15Norm
NumberRise200;MA400Norm;MA300Norm;RSI_5;RSI_5;RSI_5;NormKurs50;MA18Norm
NormKurs200;NormKurs100;MA325Norm;NormKurs50;NormKurs50;NormKurs50;NumberRise100;MA20Norm
;MA350Norm;MA375Norm;MACD_5_35_5;MACD_5_35_5;MACD_5_35_5;NumberRise200;MA22Norm
;MA225Norm;MA400Norm;MACDS_12_26_9Diff;MACDS_12_26_9Diff;MACDS_12_26_9Diff;NumberRise5;MA34Norm
;MA200Norm;MA13NormDiff;MA13Norm;MA13Norm;MA13Norm;NumberRise50;MA40Norm
;NormKurs200;MA34NormDiff;MA15Norm;MA15Norm;MA15Norm;RSI3sign;MA50Norm
;;MA50NormDiff;MACDS_5_35_5Diff;MACDS_5_35_5Diff;MACDS_5_35_5Diff;RSI_14;MA75Norm
;;MA75NormDiff;MA175Norm;MA175Norm;MA175Norm;Stoch_Sk211414;MA100Norm
;;MA150NormDiff;MA400NormDiff;MA400NormDiff;MA400NormDiff;month_year__1;MA125Norm
;;MA200NormDiff;MA22Norm;MA22Norm;MA22Norm;month_year__10;MA150Norm
;;MA225NormDiff;MA150NormDiff;MA150NormDiff;MA150NormDiff;month_year__5;MA175Norm
;;MA325NormDiff;MA250NormDiff;MA250NormDiff;MA250NormDiff;month_year__6;MA200Norm
;;MA375NormDiff;NumberRise20;NumberRise20;NumberRise20;month_year__7;MA225Norm
;;MA400NormDiff;MA50NormDiff;MA50NormDiff;MA50NormDiff;month_year__9;MA250Norm
;;RSI_3;MA40NormDiff;MA40NormDiff;MA40NormDiff;;MA275Norm
;;RSI_5;MA50Norm;MA50Norm;MA50Norm;;MA300Norm
;;RSI_9;;MA200Norm;MA200Norm;;MA325Norm
;;RSI_10;;MA400Norm;MA400Norm;;MA350Norm
;;RSI_14;;NumberRise50;NumberRise50;;MA375Norm
;;RSI3sign;;RSI3sign;RSI3sign;;MA400Norm
;;Stoch_Sd1383;;MA40Norm;MA40Norm;;MA2NormDiff
