id;Date;Open;High;Low;Close
200;2020-10-16;1829.329956;1841.699951;1811.819946;1835.300049
201;2020-10-19;1841.77002;1851.430054;1833.699951;1841.589966
202;2020-10-20;1841.400024;1854.349976;1836.75;1841.589966
203;2020-10-21;1848.650024;1849.609985;1815.589966;1820.719971
204;2020-10-22;1807.079956;1818.300049;1791.810059;1816.290039
205;2020-10-23;1816.98999;1830.089966;1814.430054;1819.939941
206;2020-10-26;1797.699951;1808.930054;1774.939941;1775.01001
207;2020-10-27;1784.650024;1785.319946;1757.300049;1764.01001
208;2020-10-28;1738.300049;1744.47998;1715.23999;1722.660034
209;2020-10-29;1718.939941;1733.790039;1704.800049;1716.030029
210;2020-10-30;1702.689941;1722.77002;1702.689941;1717.619995
211;2020-11-02;1723.25;1752.530029;1710.119995;1748.420044
212;2020-11-03;1762.959961;1774.97998;1757.569946;1772.27002
213;2020-11-04;1748.280029;1801.02002;1740.359985;1795.530029
214;2020-11-05;1809.180054;1823.829956;1805.52002;1822.209961
215;2020-11-06;1818.699951;1827.22998;1801.670044;1819.52002
216;2020-11-09;1844.900024;1903.180054;1843.079956;1888.73999
217;2020-11-10;1888.140015;1893.300049;1873.900024;1885.540039
218;2020-11-11;1883.130005;1908.339966;1880.300049;1902.890015
219;2020-11-12;1888.5;1906.780029;1886.219971;1892.410034
220;2020-11-13;1883.689941;1901.939941;1882.219971;1897.300049
221;2020-11-16;1907.469971;1926.930054;1901.780029;1918.459961
222;2020-11-17;1913.209961;1925.319946;1911.170044;1922.199951
223;2020-11-18;1914.640015;1928.569946;1910.959961;1922.530029
224;2020-11-19;1907.579956;1921.75;1904.869995;1915.400024
225;2020-11-20;1911.550049;1932.98999;1909.550049;1926.469971
226;2020-11-23;1931.959961;1940.089966;1921.77002;1921.77002
227;2020-11-24;1934.430054;1938.569946;1927.25;1938.140015
228;2020-11-25;1941.380005;1950.810059;1927.569946;1931.430054
229;2020-11-26;1938.280029;1940.699951;1929.699951;1931.969971
230;2020-11-27;1924.569946;1938.709961;1923.900024;1937.089966
231;2020-11-30;1930.569946;1935.109985;1916.869995;1917.540039
232;2020-12-01;1923.469971;1927.709961;1913.069946;1924.0
233;2020-12-02;1916.359985;1925.859985;1914.109985;1918.98999
234;2020-12-03;1918.219971;1920.140015;1904.099976;1912.180054
235;2020-12-04;1910.890015;1919.310059;1908.959961;1916.939941
236;2020-12-07;1917.819946;1920.0;1902.439941;1907.609985
237;2020-12-08;1903.540039;1925.5;1897.089966;1925.5
238;2020-12-09;1931.829956;1934.300049;1922.969971;1926.420044
239;2020-12-10;1925.839966;1927.280029;1894.880005;1906.819946
240;2020-12-11;1892.189941;1896.390015;1873.219971;1891.219971
241;2020-12-14;1900.219971;1908.22998;1888.079956;1890.650024
242;2020-12-15;1885.709961;1899.97998;1876.280029;1889.839966
243;2020-12-16;1897.630005;1908.01001;1880.099976;1892.26001
244;2020-12-17;1900.23999;1902.680054;1883.660034;1885.180054
245;2020-12-18;1881.76001;1898.219971;1881.069946;1886.880005
246;2020-12-21;1861.380005;1866.930054;1834.300049;1845.109985
247;2020-12-22;1850.219971;1864.189941;1848.459961;1863.280029
248;2020-12-23;1865.689941;1867.98999;1855.890015;1867.98999
249;2020-12-28;1877.069946;1887.469971;1868.219971;1886.380005
250;2020-12-29;1891.060059;1902.400024;1888.290039;1893.060059
