id;NormKurs5;NormKurs200;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI2_diff;RSI3_diff;RSI5_diff;RSI9_diff;RSI10_diff;RSI14_diff;RSI20_diff;RSI25_diff;Stoch_Sk1433;Stoch_Sd1433;Stoch_Sk1338;Stoch_Sd1338;Stoch_Sk533;Stoch_Sd533;Stoch_Sk2177;Stoch_Sd2177;Stoch_Sk211414;Stoch_Sd211414;Stoch_Sk31414;Stoch_Sd31414;MACD_12_26_9;MACDS_12_26_9;MACD_5_35_5;MACDS_5_35_5;MACD_12_26_9Diff;MACDS_12_26_9Diff;MACD_5_35_5Diff;MACDS_5_35_5Diff;MACD_12_26_9DiffDirChange;MACDS_12_26_9DiffDirChange;MACD_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;week_of_year;day_of_year;day_of_month;day_week__0;day_week__1;day_week__2;day_week__3;day_week__4;month_year__1;month_year__2;month_year__3;month_year__4;month_year__5;month_year__6;month_year__7;month_year__8;month_year__9;month_year__10;month_year__11;month_year__12;week_month__1;week_month__2;week_month__3;week_month__4;week_month__5;week_month__6
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;1;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;1;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2;;;;;;;;35.842040310868995;34.84403921126071;49.82843809855375;42.68916455806682;38.29924150336627;35.842040310868995;35.556883176182914;34.84403921126071;34.327885436462594;34.092210953989465;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;2;7;7;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;;;;;;;;34.13634563326892;33.295787771289646;-5.477126351759416;-3.138363334687355;-2.1448655630352818;-1.7056946776000785;-1.6595331938343065;-1.548251439971061;-1.4712470195462544;-1.4370592056649372;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;2;8;8;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4;;;;;;;;37.23974771609291;36.119112905354385;9.392255394744133;5.58774303530744;3.8773393851681917;3.1034020828239903;3.021427146355748;2.8233251340647385;2.6858440231819927;2.624702130965602;;;;;;;;;;;;;;;;0.0;;;;;0.0;0.0;0.0;0.0;2;9;9;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;0.0;;;;;;;25.34832339278475;25.73692532113222;-40.26502025715816;-24.870611967796552;-16.08671641155032;-11.891424323308158;-11.448058428225501;-10.382187584222166;-9.649034790981467;-9.32522195161133;;;;;;;;;;;;;;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;2;10;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;0.46633305289012816;;;;;;;36.14542834095413;35.1812856872561;35.78433169919692;22.330172263666643;14.543398906907775;10.797104948169384;10.400014673449839;9.444360366123881;8.786121564353493;8.495148508399705;;;;;45.27328359300258;;;;;;;;;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;3;13;13;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
7;0.6737502292902001;;;;;;;40.33371952225657;38.79739725878582;13.343828150921965;8.807010028855046;5.750038100909286;4.188291181302439;4.020585753251325;3.6161115715297214;3.3371751422870233;3.213887801301489;;;;;41.68396321180665;;;;;;;;;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;3;14;14;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8;0.19711675911483087;;;;;;;34.379110105700825;34.00231720344192;-34.59044158258918;-18.029509716173195;-9.521860757462335;-5.954609416555748;-5.606076600656529;-4.795080055343902;-4.261032795354986;-4.031788352297021;;;;;44.72003414816223;43.89242698432381;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;0.0;0.0;3;15;15;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
9;1.0;;;;;;;62.29637254830162;58.57997438992058;59.837166177352515;46.70930116583874;35.601798366647905;27.917262442600794;26.97081598141213;24.57765718647866;22.83328298788272;22.037416065401338;;;;;63.44852832972092;49.95084189656327;;;;;;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;3;16;16;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10;1.0;;;;;;;70.10078322301862;66.01357225494026;5.7761026800918245;7.258801474797764;8.044184212993201;7.804410674717005;7.716661332288126;7.433597865019678;7.171026362083907;7.035295682215157;;;;;76.13589929974505;61.434820592542735;;;;;;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;3;17;17;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
11;0.8796917518704161;;;;;;;64.94507213140402;61.93293567466868;-22.924285644392654;-13.721871022472016;-8.112988476584349;-5.155711091614606;-4.838448926178472;-4.08063658027158;-3.568037355360545;-3.3452489607954448;;;;;91.04196341466762;76.87546368137787;;;;;;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;4;20;20;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12;0.9917219453751766;;;;;;;67.4527524719686;64.1549566787009;9.174552685878595;4.746760693369438;3.199628788135456;2.5076803405645762;2.4270311009698133;2.2220210040322215;2.070025952794616;1.9996149901910911;;;;;87.15832514955262;84.77872928798843;;;;;;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;4;21;21;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
13;0.0;;;;;;;53.635865876901974;53.408338850424315;-53.297095089709806;-36.32578800438271;-22.097759484542145;-13.81688659506662;-12.91207199336128;-10.746617828276584;-9.28257092029218;-8.647639575378662;;;;;74.40833636920517;84.20287497780846;;;;;;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;4;22;22;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
14;0.0;;;;;;;42.18282201081591;44.04652187274978;-16.248247680857062;-18.932123178628654;-15.767113256531495;-11.453043866086063;-10.865156913840842;-9.361816977674536;-8.267388954071002;-7.77298130063474;;;;;50.3183539840004;70.62833850091938;;;;;;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;4;23;23;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;0.5770107997229935;;;;;;;53.97671009444696;53.425313575200136;50.74926786250498;32.20033879534046;18.712051607958948;11.793888083631046;11.07569451962597;9.378791702450357;8.243425079146732;7.752150262769334;55.51300065875116;;;;37.7787775211474;54.16848929145099;;;;;58.81083726405648;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;4;24;24;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
16;0.0;;;;;;;34.93651232834534;37.39460526137022;-44.52212248979812;-33.11424814308873;-25.141473881347007;-19.04019776610162;-18.209932060025473;-16.03070831382992;-14.378679856834069;-13.610993419641076;36.50157523024918;;;;22.716535079862226;36.937888861670004;;;;;54.784961051169326;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;5;27;27;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
17;0.3594391452201237;;;;;;;43.05865576974827;43.90946769653146;28.68768368890868;18.985698185303885;12.200631281820481;8.122143441402933;7.6554276560382135;6.514862435161241;5.72231847360689;5.372542899333105;34.96269734012586;42.32575774304207;;;30.07397096301671;30.189761188008774;;;;;52.94827718133667;;;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;5;28;28;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
