id;1dTrend;5dTrend;20dTrend;LongTrend
200;0;0;1;1
201;0;0;1;1
202;0;0;1;1
203;0;0;1;1
204;0;0;1;1
205;0;0;1;1
206;1;0;1;1
207;0;0;1;1
208;0;0;1;1
209;0;0;1;1
210;0;0;1;1
211;0;0;1;1
212;0;0;1;1
213;0;0;1;1
214;1;0;1;1
215;1;0;1;1
216;0;0;1;1
217;0;0;1;1
218;0;0;1;1
219;0;1;1;1
220;0;1;1;1
221;0;1;1;1
222;1;1;1;1
223;1;0;1;1
224;0;0;1;1
225;0;0;1;1
226;0;0;1;1
227;0;0;1;1
228;0;0;1;1
229;0;0;1;1
230;0;0;1;1
231;0;0;1;1
232;0;0;1;1
233;0;0;1;1
234;1;0;1;1
235;1;0;1;1
236;1;1;1;1
237;1;1;1;1
238;1;1;0;1
239;0;1;0;1
240;0;0;0;1
241;0;0;0;1
242;0;0;0;1
243;0;0;0;1
244;0;0;0;1
245;0;0;0;1
246;0;2;0;1
247;0;0;1;1
248;0;0;0;1
249;0;2;0;1
250;0;0;1;1
251;0;0;1;1
252;0;0;1;1
253;0;0;1;1
254;0;0;1;1
255;0;0;1;1
256;0;0;1;1
257;0;0;1;1
258;0;0;1;1
259;0;0;1;1
260;0;0;1;1
261;0;0;1;1
262;0;0;1;1
263;0;0;1;1
264;0;0;1;1
265;0;0;1;1
266;0;1;1;1
267;0;1;1;1
268;1;1;1;1
269;0;1;1;1
270;0;0;1;1
271;0;0;1;1
272;0;0;1;1
273;1;0;1;1
274;1;0;1;1
275;0;0;1;1
276;0;2;1;1
277;0;0;1;1
278;0;0;1;1
279;0;0;1;1
280;1;0;1;1
281;0;0;1;1
282;0;0;1;1
283;0;0;1;1
284;0;0;1;1
285;0;0;1;1
286;0;0;1;1
287;0;0;1;1
288;0;0;1;1
289;0;0;0;1
290;0;0;0;1
291;0;0;0;1
292;0;0;1;1
293;0;0;1;1
294;0;0;1;1
295;0;0;0;1
296;0;0;1;1
297;0;0;1;1
298;1;0;0;1
299;1;0;0;1
300;1;0;0;1
301;0;0;0;1
302;0;0;0;1
303;0;0;0;1
304;0;0;0;1
305;0;0;0;1
306;0;0;0;1
307;0;0;0;1
308;0;2;0;1
309;0;0;0;1
310;0;0;1;1
311;0;2;1;1
312;0;0;1;1
313;0;0;1;1
314;0;0;1;1
315;0;0;1;1
316;0;0;1;1
317;0;0;1;1
318;0;0;1;1
319;0;0;1;1
320;1;0;1;1
321;0;0;1;1
322;0;0;1;1
323;0;0;1;1
324;0;0;1;1
325;0;0;1;1
326;0;0;1;1
327;1;0;1;1
328;1;0;1;1
329;1;0;1;1
330;1;0;1;1
331;0;0;1;1
332;0;0;1;1
333;0;0;1;1
334;0;0;1;1
335;0;0;1;1
336;0;0;1;1
337;0;0;1;1
338;0;0;1;1
339;0;0;0;1
340;0;0;0;1
341;0;0;0;1
342;0;0;0;1
343;1;0;1;1
344;0;0;0;1
345;0;0;0;1
346;0;0;0;1
347;0;0;0;1
348;0;0;1;1
349;0;0;1;1
350;0;1;1;1
351;0;2;0;1
352;0;0;1;1
353;0;1;1;1
354;0;0;1;1
355;0;0;0;1
356;0;0;0;1
357;0;0;0;1
358;0;0;0;1
359;0;0;0;1
360;1;0;0;1
361;0;0;0;1
362;0;0;0;1
363;0;0;0;1
364;0;0;0;1
365;0;0;0;1
366;0;1;1;1
367;0;1;1;1
368;0;1;1;1
369;0;0;0;1
370;0;0;0;1
371;0;0;0;1
372;0;2;0;1
373;0;2;0;1
374;0;2;0;1
375;0;2;0;1
376;0;0;0;1
377;0;0;0;1
378;0;0;0;1
379;0;0;0;1
380;0;0;0;1
381;0;0;0;1
382;0;0;0;1
383;0;0;0;1
384;0;0;0;1
385;0;0;0;1
386;0;0;0;1
387;0;0;0;1
388;0;0;0;1
389;0;0;0;1
390;0;0;0;1
391;0;0;0;1
392;0;0;0;1
393;0;0;0;1
394;0;0;0;1
395;0;0;0;1
396;0;0;0;1
397;0;0;0;1
398;0;0;0;1
399;0;0;0;1
400;0;0;0;1
401;0;0;0;1
402;1;0;0;1
403;0;0;0;1
404;0;0;0;1
405;0;0;0;1
406;0;0;0;1
407;0;2;0;1
408;0;0;1;1
409;0;2;1;1
410;0;2;1;1
411;0;0;1;1
412;0;0;1;1
413;0;0;1;1
414;0;0;1;1
415;0;0;1;2
416;0;0;1;2
417;0;0;1;2
418;0;0;1;2
419;0;0;1;2
