;mean_test_f1_score;std_test_f1_score;param_scaler;param_sampling;param_feat__cols;param_svm__kernel;param_svm__C;param_svm__gamma
49;0.9794745484400657;0.006841817186644783;StandardScaler();SMOTE();Tree;linear;1;1
41;0.9794745484400657;0.006841817186644783;StandardScaler();Nosampler();Tree;linear;1;10
66;0.9794745484400657;0.006841817186644783;StandardScaler();ADASYN();Tree;linear;1;0.1
68;0.9794745484400657;0.006841817186644783;StandardScaler();ADASYN();Tree;linear;1;10
40;0.9794745484400657;0.006841817186644783;StandardScaler();Nosampler();Tree;linear;1;1
39;0.9794745484400657;0.006841817186644783;StandardScaler();Nosampler();Tree;linear;1;0.1
50;0.9760755937000798;0.0034428624466589786;StandardScaler();SMOTE();Tree;linear;1;10
48;0.9760755937000798;0.0034428624466589786;StandardScaler();SMOTE();Tree;linear;1;0.1
42;0.9727729894506998;0.013652349915816098;StandardScaler();Nosampler();Tree;linear;10;0.1
43;0.9727729894506998;0.013652349915816098;StandardScaler();Nosampler();Tree;linear;10;1
71;0.9727729894506998;0.013652349915816098;StandardScaler();ADASYN();Tree;linear;10;10
51;0.9727729894506998;0.013652349915816098;StandardScaler();SMOTE();Tree;linear;10;0.1
44;0.9727729894506998;0.013652349915816098;StandardScaler();Nosampler();Tree;linear;10;10
52;0.9727729894506998;0.013652349915816098;StandardScaler();SMOTE();Tree;linear;10;1
53;0.9727729894506998;0.013652349915816098;StandardScaler();SMOTE();Tree;linear;10;10
69;0.9727729894506998;0.013652349915816098;StandardScaler();ADASYN();Tree;linear;10;0.1
70;0.9727729894506998;0.013652349915816098;StandardScaler();ADASYN();Tree;linear;10;1
67;0.9726899121383383;5.718088491746265e-05;StandardScaler();ADASYN();Tree;linear;1;1
17;0.9624923665563909;0.0033717270215072315;StandardScaler();SMOTE();Lasso;linear;10;10
14;0.9591206395348837;0.013626453488372103;StandardScaler();SMOTE();Lasso;linear;1;10
31;0.9591206395348837;0.013626453488372103;StandardScaler();ADASYN();Lasso;linear;1;1
33;0.9590348682075075;8.577132737619397e-05;StandardScaler();ADASYN();Lasso;linear;10;0.1
34;0.9557607402283126;0.0031883566518187134;StandardScaler();ADASYN();Lasso;linear;10;1
35;0.9556747388385425;0.0032743580415888762;StandardScaler();ADASYN();Lasso;linear;10;10
8;0.9555603197674418;0.0035603197674418663;StandardScaler();Nosampler();Lasso;linear;10;10
15;0.9555603197674418;0.0035603197674418663;StandardScaler();SMOTE();Lasso;linear;10;0.1
16;0.9555603197674418;0.0035603197674418663;StandardScaler();SMOTE();Lasso;linear;10;1
6;0.9555603197674418;0.0035603197674418663;StandardScaler();Nosampler();Lasso;linear;10;0.1
7;0.9555603197674418;0.0035603197674418663;StandardScaler();Nosampler();Lasso;linear;10;1
13;0.9523322915869907;0.013531801990907422;StandardScaler();SMOTE();Lasso;linear;1;1
