;mean_test_f1_score;std_test_f1_score;param_svm__C;param_svm__gamma
5;0.7025;0.2124;6.102135683411516;1.003224835418735
18;0.6995;0.2133;4.96849986678545;1.001168655555288
10;0.6941;0.2169;10.881401337832212;1.0004517245860796
8;0.6941;0.2169;11.428214268789123;1.0042481810079944
7;0.6577;0.1727;20.3823514495323;1.0016379974026937
12;0.6476;0.1625;269.4750874438948;1.0019458645736021
17;0.6476;0.1625;42.164689410798815;1.0006766236456996
16;0.6476;0.1625;707.7862415135381;1.0045088148556793
15;0.6476;0.1625;697.7984153200156;1.001216789838121
14;0.6476;0.1625;95.29116765577132;1.0004649338650105
13;0.6476;0.1625;144.16487632453905;1.0031818319033508
19;0.6476;0.1625;450.99520919098717;1.0030887636702748
11;0.6476;0.1625;28.91621703870349;1.0004711893017488
1;0.6476;0.1625;106.51226508768244;1.0012299417652828
9;0.6476;0.1625;569.7837146461188;1.0012355614148793
6;0.6476;0.1625;100.43115973327303;1.0024404338171586
4;0.6476;0.1625;239.77271079439345;1.0037534649103559
3;0.6476;0.1625;246.26955149988115;1.0055030212731577
2;0.6476;0.1625;162.83274873636051;1.0041633511190635
0;0.6453;0.1594;24.983896241029296;1.0004076651900096
