id;Date;Open;High;Low;Close
200;1987-07-23;140.18;141.28;141.28;141.28
201;1987-07-24;141.28;141.6;141.6;141.6
202;1987-07-27;141.6;141.89;141.89;141.89
203;1987-07-28;141.89;143.86;143.86;143.86
204;1987-07-29;143.86;145.28;145.28;145.28
205;1987-07-30;145.28;145.22;145.22;145.22
206;1987-07-31;145.22;145.13;145.13;145.13
207;1987-08-03;145.13;143.82;143.82;143.82
208;1987-08-04;143.82;144.43;144.43;144.43
209;1987-08-05;144.43;146.88;146.88;146.88
210;1987-08-06;146.88;147.21;147.21;147.21
211;1987-08-07;147.21;146.76;146.76;146.76
212;1987-08-10;146.76;145.21;145.21;145.21
213;1987-08-11;145.21;148.44;148.44;148.44
214;1987-08-12;148.44;149.48;149.48;149.48
215;1987-08-13;149.48;150.67;150.67;150.67
216;1987-08-14;150.67;151.51;151.51;151.51
217;1987-08-17;151.51;150.56;150.56;150.56
218;1987-08-18;150.56;150.89;150.89;150.89
219;1987-08-19;150.89;151.25;151.25;151.25
220;1987-08-20;151.25;152.69;152.69;152.69
221;1987-08-21;152.69;153.77;153.77;153.77
222;1987-08-24;153.77;154.96;154.96;154.96
223;1987-08-25;154.96;152.11;152.11;152.11
224;1987-08-26;152.11;151.41;151.41;151.41
225;1987-08-27;151.41;150.42;150.42;150.42
226;1987-08-28;150.42;150.44;150.44;150.44
227;1987-08-31;150.44;148.57;148.57;148.57
228;1987-09-01;148.57;149.75;149.75;149.75
229;1987-09-02;149.75;149.94;149.94;149.94
230;1987-09-03;149.94;152.96;152.96;152.96
231;1987-09-04;152.96;154.15;154.15;154.15
232;1987-09-07;154.15;154.39;154.39;154.39
233;1987-09-08;154.39;155.7;155.7;155.7
234;1987-09-09;155.7;154.94;154.94;154.94
235;1987-09-10;154.94;156.84;156.84;156.84
236;1987-09-11;156.84;157.25;157.25;157.25
237;1987-09-14;157.25;157.93;157.93;157.93
238;1987-09-15;157.93;157.24;157.24;157.24
239;1987-09-16;157.24;156.93;156.93;156.93
240;1987-09-17;156.93;155.24;155.24;155.24
241;1987-09-18;155.24;154.59;154.59;154.59
242;1987-09-21;154.59;156.48;156.48;156.48
243;1987-09-22;156.48;156.51;156.51;156.51
244;1987-09-23;156.51;156.63;156.63;156.63
245;1987-09-24;156.63;155.87;155.87;155.87
246;1987-09-25;155.87;154.88;154.88;154.88
247;1987-09-28;154.88;152.88;152.88;152.88
248;1987-09-29;152.88;155.3;155.3;155.3
249;1987-09-30;155.3;157.24;157.24;157.24
250;1987-10-01;157.24;159.97;159.97;159.97
251;1987-10-02;159.97;160.41;160.41;160.41
252;1987-10-05;160.41;162.07;162.07;162.07
253;1987-10-06;162.07;162.17;162.17;162.17
254;1987-10-07;162.17;162.14;162.14;162.14
255;1987-10-08;162.14;162.91;162.91;162.91
256;1987-10-09;162.91;162.29;162.29;162.29
257;1987-10-12;162.29;160.02;160.02;160.02
258;1987-10-13;160.02;159.58;159.58;159.58
259;1987-10-14;159.58;161.16;161.16;161.16
260;1987-10-15;161.16;158.63;158.63;158.63
