id;1dTrend;5dTrend;20dTrend;LongTrend
200;1;0;1;1
201;1;0;1;1
202;0;0;1;1
203;0;0;1;1
204;0;0;1;1
205;0;0;1;1
206;0;0;1;1
207;1;0;1;1
208;0;0;1;1
209;0;0;1;1
210;0;0;1;1
211;0;0;1;1
212;1;0;1;1
213;1;0;1;1
214;0;0;1;1
215;0;0;1;1
216;0;0;1;1
217;1;0;1;1
218;1;0;1;1
219;1;0;1;1
220;0;0;1;1
221;0;0;1;1
222;0;0;1;1
223;0;0;1;1
224;0;2;1;1
225;0;2;1;1
226;0;2;1;1
227;1;0;1;1
228;1;0;1;1
229;1;0;1;1
230;1;0;1;1
231;0;0;1;1
232;0;0;1;1
233;0;0;1;1
234;1;0;1;1
235;0;0;1;1
236;0;0;1;1
237;0;0;1;1
238;0;0;1;1
239;0;2;1;1
240;0;0;1;1
241;1;0;1;1
242;0;2;0;1
243;0;0;0;1
244;0;0;0;1
245;0;0;0;1
246;0;0;0;1
247;1;0;0;1
248;1;0;0;1
249;1;1;0;1
250;1;1;0;1
251;0;1;0;1
252;0;1;0;1
253;0;0;0;1
254;0;0;0;1
255;0;0;0;1
256;0;0;0;1
257;0;2;0;1
258;0;2;0;1
259;0;2;0;1
260;0;2;0;1
261;0;0;0;1
262;0;0;0;2
263;0;0;0;2
264;0;0;0;2
265;0;0;0;2
266;0;0;0;2
267;0;0;0;2
268;0;0;0;2
269;0;0;0;2
270;0;0;0;2
271;0;0;0;2
272;0;0;0;2
273;0;0;0;2
274;0;0;0;2
275;0;0;0;2
276;0;0;0;2
277;0;0;0;2
278;0;0;1;2
279;1;0;1;2
280;0;0;0;2
281;0;1;0;2
282;0;0;0;2
283;0;0;0;2
284;0;0;0;2
285;0;0;0;2
286;0;0;0;2
287;0;0;0;2
288;0;0;0;2
289;0;0;0;2
290;0;0;0;2
291;0;0;0;2
292;0;0;1;2
293;0;0;1;2
294;0;0;1;2
295;0;0;1;2
296;0;0;1;2
297;0;0;1;2
298;0;0;1;2
299;0;0;1;2
300;0;0;1;2
301;0;0;1;2
302;1;0;1;2
303;0;0;1;2
304;0;0;1;2
305;0;0;1;2
306;0;0;1;2
307;0;0;1;2
308;0;0;1;2
309;0;0;1;2
310;0;0;1;2
311;0;0;1;2
312;0;0;1;2
313;0;0;1;2
314;0;0;1;2
315;0;0;1;2
316;0;0;1;2
317;0;0;1;2
318;0;0;1;2
319;1;0;1;2
320;1;0;1;2
321;1;0;1;2
322;1;0;1;2
323;1;0;1;2
324;1;0;1;2
325;1;0;1;2
326;0;0;1;2
327;0;0;1;2
328;0;0;1;2
329;0;0;1;2
330;0;0;1;2
331;0;0;1;2
332;0;0;1;2
333;1;0;1;2
334;0;0;1;2
335;0;0;1;2
336;0;0;1;2
337;0;0;1;2
338;1;0;1;2
339;1;0;1;2
340;1;1;1;2
341;0;1;1;2
342;0;0;1;2
343;0;0;1;2
344;0;0;1;2
345;0;2;1;2
346;0;0;1;2
347;0;2;1;2
348;0;2;1;2
349;1;0;1;2
350;1;0;1;2
351;1;0;1;2
352;1;0;1;2
353;1;0;1;2
354;1;0;1;2
355;0;0;0;1
356;0;0;0;1
357;0;0;1;1
358;0;0;1;1
359;0;0;1;1
360;0;0;1;1
361;0;0;1;1
362;0;0;1;1
363;0;0;1;1
364;0;0;0;1
365;0;0;0;1
366;0;2;0;1
367;0;2;0;1
368;0;2;0;1
369;0;0;0;1
370;0;0;0;1
371;0;0;1;1
372;0;0;1;1
373;0;0;1;1
374;0;1;1;1
375;1;1;1;1
376;1;1;1;1
377;1;1;1;1
378;1;0;0;1
379;1;0;0;1
380;0;0;0;1
381;0;0;0;1
382;0;0;0;1
383;0;0;0;1
384;0;2;1;1
385;0;2;1;1
386;0;0;1;1
387;0;0;1;1
388;0;0;1;1
389;1;0;1;1
390;0;0;1;1
391;0;0;1;1
392;0;0;1;1
393;1;0;1;1
394;0;0;1;1
395;0;0;1;1
396;0;0;1;1
397;0;0;1;1
398;1;0;1;1
399;0;0;1;1
400;0;0;1;1
401;0;0;1;1
402;0;0;1;1
403;1;0;1;1
404;0;0;1;1
405;0;1;1;1
406;0;1;1;1
407;0;1;1;1
408;0;1;1;1
409;0;0;1;1
410;0;0;1;1
411;0;0;1;1
412;1;0;1;1
413;0;0;0;1
414;0;0;0;1
415;0;0;0;1
416;0;0;0;1
417;0;0;0;1
418;0;2;0;1
419;0;2;0;1
420;0;2;1;1
421;0;0;1;1
422;0;0;1;1
423;1;0;1;1
424;0;0;1;1
425;0;0;0;1
426;0;0;0;1
427;0;0;0;1
428;0;0;1;1
429;0;0;1;1
430;0;0;1;1
431;0;0;1;1
432;0;0;1;1
433;0;0;1;1
434;0;0;1;1
435;0;1;1;1
436;0;1;1;1
437;0;1;1;1
438;1;1;1;1
439;0;0;1;1
440;0;0;1;1
441;0;0;1;1
442;0;0;1;1
443;0;0;1;1
444;0;0;0;1
445;0;0;0;1
446;0;0;0;1
447;0;0;0;1
448;0;0;0;1
449;0;0;0;1
450;0;0;0;1
451;0;0;0;1
452;1;0;0;1
453;1;0;0;1
454;1;0;0;1
455;0;0;0;1
456;0;0;0;1
457;0;0;0;1
458;0;0;0;1
459;0;2;0;1
460;0;2;0;1
461;0;2;0;1
462;0;2;0;1
463;0;0;0;1
464;0;0;0;1
465;0;0;1;1
466;0;0;1;1
467;0;0;1;1
468;1;0;1;1
469;0;0;1;1
470;0;0;1;1
471;0;0;1;1
472;0;0;1;1
473;0;0;1;1
474;0;0;1;1
475;0;0;1;1
476;0;0;1;1
477;0;0;1;1
478;0;0;1;1
479;0;1;1;1
480;1;1;1;1
481;1;1;1;1
482;1;1;1;1
483;1;0;1;1
484;1;0;1;1
485;1;0;1;1
486;0;0;1;1
487;0;0;1;1
488;0;0;1;1
489;0;0;1;1
490;0;0;1;1
491;1;0;1;1
492;1;0;1;1
493;0;0;1;1
494;0;0;1;1
495;0;0;1;1
496;0;0;1;1
497;0;0;1;1
498;0;0;1;1
499;1;0;1;1
500;1;0;1;1
501;1;0;1;1
502;1;0;1;1
503;1;0;1;1
504;1;0;1;1
505;0;0;1;1
506;0;0;1;1
507;0;0;1;1
508;0;0;1;1
509;0;0;1;1
510;0;0;1;1
511;0;0;1;1
512;0;0;0;1
513;0;0;1;1
514;1;0;1;1
515;1;0;1;1
516;1;0;1;1
517;0;0;1;1
518;0;0;1;1
519;0;0;1;1
520;0;0;1;1
521;1;0;0;1
522;0;0;0;1
523;0;0;0;1
524;0;0;0;1
525;0;0;1;1
526;0;0;0;1
527;0;0;1;1
528;0;2;1;1
529;0;2;1;1
530;0;2;1;1
531;0;2;1;1
532;0;0;1;1
533;0;0;1;1
534;0;0;1;1
535;1;1;1;1
536;1;1;1;1
537;0;1;1;1
538;0;0;1;1
539;0;0;1;1
540;0;0;1;1
541;0;0;1;1
542;1;0;1;1
543;0;0;1;1
544;0;0;1;1
545;0;0;1;1
546;0;0;1;1
547;0;0;1;1
548;0;0;1;1
549;0;0;1;1
550;0;0;1;1
551;0;0;1;1
552;0;0;1;1
553;0;0;1;1
554;0;0;1;1
555;0;0;1;1
556;0;0;1;1
557;0;0;1;1
558;0;0;1;1
559;0;0;1;1
560;1;0;1;1
561;0;0;1;1
562;0;0;1;1
563;0;0;1;1
564;0;0;1;1
565;0;0;1;1
566;1;0;1;1
567;1;0;1;1
568;1;1;1;1
569;1;1;1;1
570;1;1;1;1
571;1;1;1;1
572;0;0;1;1
573;0;0;1;1
574;0;0;1;1
575;1;0;1;1
576;1;0;1;1
577;1;0;1;1
578;1;0;1;1
579;1;0;1;1
580;1;0;1;1
581;0;0;1;1
582;0;0;1;1
583;0;0;1;1
584;0;0;1;1
585;0;0;1;1
586;1;0;1;1
587;0;0;1;1
588;0;0;1;1
589;0;0;1;1
590;0;0;1;1
591;1;0;1;1
592;0;0;1;1
593;0;0;1;1
594;0;0;1;1
595;0;1;1;1
596;0;1;1;1
597;1;0;1;1
598;1;0;1;1
599;1;0;1;1
600;0;0;1;1
601;0;0;1;1
602;0;0;1;1
603;0;0;1;1
604;0;0;1;1
605;1;0;1;1
606;1;0;1;1
607;1;0;1;1
608;1;0;1;1
609;1;0;1;1
610;0;0;1;1
611;0;0;1;1
612;0;0;1;1
613;0;0;1;1
614;0;0;0;1
615;0;0;1;1
616;0;0;0;1
617;0;0;0;1
618;0;0;0;1
619;0;0;0;1
620;0;0;0;1
621;1;0;0;1
622;1;0;0;1
623;1;1;0;1
624;0;1;0;1
625;0;1;0;1
626;0;1;0;1
627;1;0;1;1
628;0;0;0;1
629;0;0;0;1
630;0;0;0;1
631;0;0;0;1
632;0;2;0;1
633;0;2;1;1
634;0;2;1;1
635;0;2;1;1
636;0;0;1;1
637;0;0;1;1
638;0;0;1;1
639;0;0;1;1
640;0;0;1;1
641;0;1;1;1
642;1;1;1;1
643;1;1;1;1
644;0;1;1;1
645;0;0;1;1
646;0;0;1;1
647;0;0;1;1
648;0;0;1;1
649;0;0;1;1
650;0;0;1;1
651;0;0;1;1
652;0;0;1;1
653;1;0;1;1
654;1;0;1;1
655;1;0;1;1
656;1;0;1;1
657;1;0;1;1
658;0;0;1;1
659;0;0;1;1
660;0;0;1;1
661;0;0;1;1
662;1;0;1;1
663;0;0;1;1
664;0;0;1;1
665;0;0;1;1
666;0;0;1;1
667;0;0;1;1
668;0;0;1;1
669;0;0;1;1
670;0;0;1;1
671;1;0;1;1
672;1;0;1;1
673;1;1;1;1
674;1;1;1;1
675;0;1;1;1
676;0;1;1;1
677;0;0;1;1
678;0;0;1;1
679;0;0;1;1
680;0;0;1;1
681;0;0;1;1
682;0;0;1;1
683;1;0;1;1
684;0;0;1;1
685;0;0;1;1
686;0;0;1;1
687;0;0;1;1
688;0;0;1;1
689;1;0;1;1
690;1;0;1;1
691;1;0;1;1
692;1;0;1;1
693;1;0;1;1
694;1;0;1;1
695;0;0;1;1
696;0;0;1;1
697;0;0;1;1
698;0;0;1;1
699;1;0;1;1
700;0;0;1;1
701;0;0;1;1
702;0;0;1;1
703;1;0;1;1
704;1;0;1;1
705;1;0;1;1
706;1;0;1;1
707;1;0;1;1
708;1;0;1;1
709;0;0;1;1
710;0;0;1;1
711;0;0;1;1
712;0;0;1;1
713;0;0;1;1
714;1;0;1;1
715;0;0;1;1
716;0;1;0;1
717;0;1;0;1
718;1;1;0;1
719;0;1;0;1
720;0;0;0;1
721;0;0;0;1
722;0;0;0;1
723;0;2;0;1
724;0;2;0;1
725;0;0;0;1
726;1;0;0;1
727;0;0;0;1
728;0;0;0;1
729;0;0;0;1
730;0;0;0;1
731;0;0;0;1
732;0;0;0;1
733;0;0;0;1
734;0;0;0;1
735;0;0;0;1
736;0;0;0;1
737;0;0;0;1
738;0;0;0;1
739;0;0;0;1
740;0;0;0;1
741;0;0;1;1
742;0;0;1;1
743;0;0;1;1
744;0;0;0;1
745;0;0;0;1
746;0;0;0;1
747;0;0;0;1
748;0;0;0;1
749;1;0;1;1
750;1;0;0;1
751;0;1;0;1
752;0;1;0;1
753;0;1;0;1
754;0;1;0;1
755;0;0;0;1
756;0;0;0;1
757;1;0;0;1
758;1;0;0;1
759;0;0;0;1
760;0;0;0;1
761;0;0;0;1
762;0;0;0;1
763;0;2;0;1
764;1;0;1;1
765;0;0;0;1
766;0;0;0;1
767;0;0;0;1
768;0;0;0;1
769;0;0;0;1
770;0;0;0;1
771;0;0;0;1
772;0;0;0;1
773;0;0;0;2
774;0;0;0;2
775;0;0;0;2
776;0;0;0;2
777;0;0;0;2
778;0;0;0;2
779;0;0;0;2
780;0;0;0;2
781;0;0;0;2
782;0;0;0;2
783;0;0;0;2
784;0;0;0;2
785;0;0;1;2
786;0;0;1;2
787;0;0;1;2
788;0;0;1;2
789;0;0;1;2
790;0;0;1;2
791;0;0;1;2
792;0;0;1;2
793;1;1;1;2
794;1;1;1;2
795;0;1;1;2
796;0;0;1;2
797;0;0;1;2
798;0;0;1;2
799;1;0;1;2
800;1;0;1;2
801;1;0;1;2
802;1;0;1;2
803;1;0;1;2
804;1;0;1;2
805;1;0;1;2
806;0;0;1;2
807;0;0;1;2
808;0;0;1;2
809;0;0;1;2
810;0;0;1;2
811;0;0;1;2
812;0;0;1;2
813;1;0;1;2
814;0;0;1;2
815;0;0;0;2
816;0;0;0;2
817;1;0;1;2
818;1;0;1;2
819;1;0;0;2
820;0;0;0;2
821;0;0;0;2
822;0;0;0;2
823;0;0;0;2
824;0;2;0;2
825;0;2;0;2
826;0;2;0;2
827;0;2;0;2
828;0;0;0;2
829;0;0;0;2
830;0;0;0;2
831;0;0;0;2
832;0;0;0;2
833;1;0;0;2
834;0;0;0;2
835;0;1;0;2
836;0;1;0;2
837;1;1;0;2
838;1;1;0;2
839;0;0;0;2
840;0;0;0;2
841;0;0;0;2
842;0;0;0;2
843;0;2;0;2
844;0;2;0;2
845;0;2;0;2
