Lasso;Tree;Backward_Elimination;RecursiveTop15;RecursiveTop30;RecursiveTop45;Manual;All
MA200Norm;month_year__5;NormKurs50;MA200Norm;MA200Norm;MA200Norm;MA200Norm;NormKurs50
month_year__10;month_year__8;NormKurs200;MACDS_12_26_9;MACDS_12_26_9;MACDS_12_26_9;MA50Norm;NormKurs200
MACDS_12_26_9Diff;RSI_14;NumberRise50;month_year__7;month_year__7;month_year__7;MACDS_12_26_9;NumberRise50
month_year__11;month_year__12;NumberRise200;month_year__6;month_year__6;month_year__6;MACDS_12_26_9Diff;NumberRise200
month_year__1;MACD_12_26_9;MA50Norm;month_year__10;month_year__10;month_year__10;MACDS_5_35_5;MA50Norm
MACDS_12_26_9;Stoch_Sk31414;MA200Norm;MA50Norm;MA50Norm;MA50Norm;MACD_12_26_9;MA200Norm
month_year__5;Stoch_Sk211414;RSI_14;month_year__11;month_year__11;month_year__11;MACD_5_35_5;MA50NormDiff
NumberRise50;month_year__1;RSI9_diff;month_year__1;month_year__1;month_year__1;NormKurs200;MA200NormDiff
month_year__8;Stoch_Sd211414;RSI14_diff;MACDS_5_35_5;MACDS_5_35_5;MACDS_5_35_5;NormKurs50;RSI_9
month_year__6;MACDS_12_26_9Diff;Stoch_Sd1383;NumberRise200;NumberRise200;NumberRise200;NumberRise200;RSI_14
month_year__7;month_year__11;Stoch_Sk2177;NormKurs200;NormKurs200;NormKurs200;NumberRise50;RSI9_diff
;MACD_5_35_5;Stoch_Sd2177;NumberRise50;NumberRise50;NumberRise50;RSI_14;RSI14_diff
;MACDS_5_35_5;Stoch_Sk211414;month_year__5;month_year__5;month_year__5;Stoch_Sd211414;Stoch_Sk1383
;Stoch_Sd31414;Stoch_Sd211414;month_year__12;month_year__12;month_year__12;Stoch_Sd31414;Stoch_Sd1383
;MA50Norm;Stoch_Sk31414;month_year__8;month_year__8;month_year__8;Stoch_Sk211414;Stoch_Sk533
;month_year__10;Stoch_Sd31414;;MACDS_12_26_9Diff;MACDS_12_26_9Diff;Stoch_Sk31414;Stoch_Sd533
;NumberRise50;MACD_12_26_9;;week_of_year;week_of_year;day_of_year;Stoch_Sk2177
;NormKurs50;MACDS_12_26_9;;NormKurs50;NormKurs50;month_year__1;Stoch_Sd2177
;month_year__6;MACD_5_35_5;;MACD_12_26_9Diff;MACD_12_26_9Diff;month_year__10;Stoch_Sk211414
;MACDS_12_26_9;MACDS_5_35_5;;MACD_5_35_5;MACD_5_35_5;month_year__11;Stoch_Sd211414
;month_year__7;MACD_12_26_9Diff;;day_of_year;day_of_year;month_year__12;Stoch_Sk31414
;week_of_year;MACDS_12_26_9Diff;;MACDS_5_35_5Diff;MACDS_5_35_5Diff;month_year__5;Stoch_Sd31414
;NumberRise200;MACD_5_35_5Diff;;MACD_12_26_9;MACD_12_26_9;month_year__6;MACD_12_26_9
;day_of_year;MACDS_5_35_5Diff;;month_year__9;month_year__9;month_year__7;MACDS_12_26_9
;NormKurs200;MACDS_12_26_9DiffDirChange;;Stoch_Sk2177;Stoch_Sk2177;month_year__8;MACD_5_35_5
;MA200Norm;week_of_year;;Stoch_Sd2177;Stoch_Sd2177;week_of_year;MACDS_5_35_5
;;day_of_year;;RSI_9;RSI_9;;MACD_12_26_9Diff
;;day_of_month;;Stoch_Sd31414;Stoch_Sd31414;;MACDS_12_26_9Diff
;;day_week__0;;RSI_14;RSI_14;;MACD_5_35_5Diff
;;day_week__1;;Stoch_Sk31414;Stoch_Sk31414;;MACDS_5_35_5Diff
;;day_week__3;;;Stoch_Sd211414;;MACD_12_26_9DiffDirChange
;;day_week__4;;;Stoch_Sk211414;;MACDS_12_26_9DiffDirChange
;;month_year__1;;;month_year__3;;MACD_5_35_5DiffDirChange
;;month_year__2;;;month_year__4;;MACDS_5_35_5DiffDirChange
;;month_year__3;;;MACD_5_35_5DiffDirChange;;week_of_year
;;month_year__4;;;Stoch_Sk1383;;day_of_year
;;month_year__5;;;Stoch_Sd1383;;day_of_month
;;month_year__6;;;Stoch_Sd533;;day_week__0
;;month_year__7;;;MA50NormDiff;;day_week__1
;;month_year__8;;;Stoch_Sk533;;day_week__2
;;month_year__9;;;day_week__1;;day_week__3
;;month_year__10;;;MACD_5_35_5Diff;;day_week__4
;;month_year__11;;;month_year__2;;month_year__1
;;month_year__12;;;week_month__4;;month_year__2
;;week_month__1;;;day_week__3;;month_year__3
;;week_month__2;;;;;month_year__4
;;week_month__3;;;;;month_year__5
;;week_month__4;;;;;month_year__6
;;week_month__5;;;;;month_year__7
;;week_month__6;;;;;month_year__8
;;;;;;;month_year__9
;;;;;;;month_year__10
;;;;;;;month_year__11
;;;;;;;month_year__12
;;;;;;;week_month__1
;;;;;;;week_month__2
;;;;;;;week_month__3
;;;;;;;week_month__4
;;;;;;;week_month__5
;;;;;;;week_month__6
