Date;Open;High;Low;Close
2018-01-02;1576.94;1583.38;1573.76;1579.82
2018-01-03;1579.82;1591.1;1577.61;1587.56
2018-01-04;1587.56;1606.71;1587.88;1603.67
2018-01-05;1603.67;1611.31;1604.08;1611.31
2018-01-08;1611.31;1622.41;1612.98;1619.13
2018-01-09;1619.13;1633.96;1618.9;1632.29
2018-01-10;1632.29;1631.91;1621.85;1629.29
2018-01-11;1629.29;1632.9;1620.52;1630.29
2018-01-12;1630.29;1634.58;1621.24;1628.4
2018-01-15;1628.4;1630.22;1622.93;1627.29
2018-01-16;1627.29;1630.01;1620.46;1623.33
2018-01-17;1623.33;1629.67;1614.46;1622.85
2018-01-18;1622.85;1630.53;1619.88;1624.78
2018-01-19;1624.78;1631.63;1623.63;1630.62
2018-01-22;1630.62;1639.05;1628.7;1635.47
2018-01-23;1635.47;1647.69;1636.77;1643.71
2018-01-24;1643.71;1645.06;1629.98;1631.2
2018-01-25;1631.2;1630;1600.89;1604.49
2018-01-26;1604.49;1614.6;1601.73;1612.63
2018-01-29;1612.63;1620.46;1608.51;1610.4
2018-01-30;1610.4;1612.24;1602.29;1603.31
2018-01-31;1603.31;1613.16;1592.39;1593.15
2018-02-01;1593.15;1610.27;1596;1601.84
2018-02-02;1601.84;1602.02;1581.04;1584.79
2018-02-05;1584.79;1581.69;1545.56;1546.33
2018-02-06;1546.33;1535.28;1487.95;1511.6
2018-02-07;1511.6;1555.29;1513.57;1551.15
2018-02-08;1551.15;1550.44;1519.77;1519.77
2018-02-09;1519.77;1523.45;1499.74;1500.18
2018-02-12;1500.18;1531.86;1501.5;1521.62
2018-02-13;1521.62;1527.17;1513.23;1513.27
2018-02-14;1513.27;1533.7;1503.37;1532.15
2018-02-15;1532.15;1550.28;1533.3;1542.72
2018-02-16;1542.72;1557.29;1545.46;1556.93
2018-02-19;1556.93;1562.46;1549.01;1550.86
2018-02-20;1550.86;1570.36;1550.91;1569.68
2018-02-21;1569.68;1577.74;1557.71;1575.12
2018-02-22;1575.12;1575.16;1556.5;1573.88
2018-02-23;1573.88;1580.14;1567.95;1577.11
2018-02-26;1577.11;1591.59;1578.87;1586.96
2018-02-27;1586.96;1595.35;1583.52;1588.23
2018-02-28;1588.23;1594.51;1580.95;1583.39
2018-03-01;1583.39;1583.23;1560.56;1560.56
2018-03-02;1560.56;1559.5;1525.37;1526.46
2018-03-05;1526.46;1548.03;1524.26;1547.94
2018-03-06;1547.94;1569.75;1551.2;1559.94
2018-03-07;1559.94;1564.2;1548.01;1564.19
2018-03-08;1564.19;1586.22;1564.18;1585.53
2018-03-09;1585.53;1592.77;1580.38;1589.62
2018-03-12;1589.62;1602.26;1589.17;1593.83
2018-03-13;1593.83;1603.34;1575.23;1578.15
2018-03-14;1578.15;1598.35;1578.63;1585.31
2018-03-15;1585.31;1592.28;1580.19;1592.28
2018-03-16;1592.28;1593.43;1572.58;1573.48
2018-03-19;1573.48;1573.27;1545.78;1547.41
2018-03-20;1547.41;1556.07;1542.3;1551.97
2018-03-21;1551.97;1553.18;1543.26;1549.7
2018-03-22;1549.7;1547.62;1508.86;1515.84
2018-03-23;1515.84;1520.66;1493.12;1513.18
2018-03-26;1513.18;1519.79;1493.8;1496.59
2018-03-27;1496.59;1517.55;1495.08;1510.11
2018-03-28;1510.11;1512.13;1484.14;1512.13
2018-03-29;1512.13;1537.25;1513.19;1535.35
2018-04-03;1535.35;1533.2;1504.07;1508.8
2018-04-04;1508.8;1511.69;1482.22;1494.65
2018-04-05;1494.65;1527.44;1500.06;1527.22
2018-04-06;1527.22;1526.43;1508.85;1511.37
2018-04-09;1511.37;1527.56;1502.45;1511.32
2018-04-10;1511.32;1526.99;1513.11;1526.76
2018-04-11;1526.76;1526.47;1498.8;1504.71
2018-04-12;1504.71;1520.85;1503.86;1518.88
2018-04-13;1518.88;1534.04;1517.41;1526.66
2018-04-16;1526.66;1533.74;1524.22;1526.27
2018-04-17;1526.27;1548.5;1528.53;1545.16
2018-04-18;1545.16;1553.88;1542.97;1552.48
2018-04-19;1552.48;1563.83;1551.72;1558.23
2018-04-20;1558.23;1576.98;1556.89;1572.58
2018-04-23;1572.58;1587.65;1570.84;1587.65
2018-04-24;1587.65;1593.1;1571.41;1575.4
2018-04-25;1575.4;1574.02;1543.26;1557.29
2018-04-26;1557.29;1575.23;1552.02;1573.76
2018-04-27;1573.76;1583.11;1571.49;1580.78
2018-04-30;1580.78;1582.2;1568.68;1570.71
2018-05-02;1570.71;1592.12;1574.88;1590.97
2018-05-03;1590.97;1591.05;1564.75;1566.96
2018-05-04;1566.96;1577.82;1565.61;1577.08
2018-05-07;1577.08;1600.45;1577.15;1597.93
2018-05-08;1597.93;1608.94;1591.32;1608.94
2018-05-09;1608.94;1623.04;1603.06;1616.8
2018-05-11;1616.8;1619.79;1601.12;1603.25
2018-05-14;1603.25;1607.4;1593.66;1598.58
2018-05-15;1598.58;1608.47;1593.16;1606.72
2018-05-16;1606.72;1606.7;1593.25;1602.27
2018-05-17;1602.27;1618.95;1602.28;1618.95
2018-05-18;1618.95;1627.13;1617.86;1621.61
2018-05-21;1621.61;1634.76;1622.18;1626.25
2018-05-22;1626.25;1632.3;1617.15;1624.44
2018-05-23;1624.44;1621.9;1597.76;1602.1
2018-05-24;1602.1;1612.78;1588.03;1593.57
2018-05-25;1593.57;1603.04;1584.91;1586.98
2018-05-28;1586.98;1598.35;1577.43;1581.52
2018-05-29;1581.52;1579.5;1554.94;1572.3
2018-05-30;1572.3;1574.65;1559.66;1562.54
2018-05-31;1562.54;1572.42;1544.83;1549.94
