Date;Open;High;Low;Close
2020-01-02;1771.85;1810.20;1771.85;1808.63
2020-01-03;1808.63;1806.41;1778.53;1785.23
2020-01-07;1785.23;1805.65;1784.86;1796.85
2020-01-08;1796.85;1796.79;1774.36;1795.41
2020-01-09;1795.41;1811.22;1793.74;1796.73
2020-01-10;1796.73;1800.16;1784.28;1784.97
2020-01-13;1784.97;1798.06;1781.32;1790.51
2020-01-14;1790.51;1794.02;1772.69;1792.90
2020-01-15;1792.90;1794.08;1780.88;1787.29
2020-01-16;1787.29;1812.30;1787.30;1812.30
2020-01-17;1812.30;1831.52;1813.24;1825.94
2020-01-20;1825.94;1829.68;1819.80;1821.29
2020-01-21;1821.29;1826.62;1800.60;1825.62
2020-01-22;1825.62;1834.10;1810.72;1811.76
2020-01-23;1811.76;1809.72;1790.97;1795.43
2020-01-24;1795.43;1820.75;1798.29;1812.85
2020-01-27;1812.85;1808.02;1766.71;1771.48
2020-01-28;1771.48;1791.50;1763.45;1786.35
2020-01-29;1786.35;1798.52;1784.15;1791.67
2020-01-30;1791.67;1805.62;1771.15;1787.96
2020-01-31;1787.96;1806.55;1778.08;1783.26
2020-02-03;1783.26;1791.59;1774.18;1782.91
2020-02-04;1782.91;1821.04;1785.41;1821.04
2020-02-05;1821.04;1854.10;1815.32;1847.35
2020-02-06;1847.35;1864.32;1843.86;1851.95
2020-02-07;1851.95;1856.34;1841.59;1849.86
2020-02-10;1849.86;1860.70;1843.47;1858.00
2020-02-11;1858.00;1885.50;1859.24;1884.13
2020-02-12;1884.13;1893.27;1879.13;1889.75
2020-02-13;1889.75;1887.25;1864.05;1883.02
2020-02-14;1883.02;1892.15;1881.35;1885.62
2020-02-17;1885.62;1897.93;1885.42;1888.35
2020-02-18;1888.35;1888.98;1869.27;1878.79
2020-02-19;1878.79;1901.13;1880.69;1900.28
2020-02-20;1900.28;1905.61;1896.78;1898.93
2020-02-21;1898.93;1896.76;1871.22;1879.10
2020-02-24;1879.10;1872.00;1791.96;1798.20
2020-02-25;1798.20;1812.90;1766.33;1769.14
2020-02-26;1769.14;1787.07;1709.32;1782.10
2020-02-27;1782.10;1779.72;1691.13;1721.59
2020-02-28;1721.59;1689.67;1646.11;1668.84
2020-03-02;1668.84;1711.54;1644.33;1679.13
2020-03-03;1679.13;1732.03;1693.21;1694.56
2020-03-04;1694.56;1724.26;1687.33;1704.20
2020-03-05;1704.20;1723.51;1666.77;1683.19
2020-03-06;1683.19;1657.13;1616.06;1629.00
2020-03-09;1629.00;1568.67;1511.18;1542.44
2020-03-10;1542.44;1604.73;1521.84;1533.79
2020-03-11;1533.79;1561.44;1506.84;1511.96
2020-03-12;1511.96;1447.69;1344.08;1352.13
2020-03-13;1352.13;1469.71;1343.88;1376.46
2020-03-16;1376.46;1355.88;1261.17;1329.16
2020-03-17;1329.16;1384.75;1295.40;1372.79
2020-03-18;1372.79;1364.56;1310.96;1337.24
2020-03-19;1337.24;1380.58;1328.52;1380.58
2020-03-20;1380.58;1431.56;1355.54;1355.54
2020-03-23;1355.54;1351.74;1284.48;1292.27
2020-03-24;1292.27;1383.88;1332.41;1383.88
2020-03-25;1383.88;1446.56;1362.76;1446.56
2020-03-26;1446.56;1470.89;1402.86;1470.89
2020-03-27;1470.89;1454.45;1405.95;1419.29
2020-03-30;1419.29;1449.20;1394.96;1449.20
2020-03-31;1449.20;1487.06;1445.35;1482.43
2020-04-01;1482.43;1447.97;1425.72;1425.99
2020-04-02;1425.99;1439.40;1400.27;1427.19
2020-04-03;1427.19;1430.19;1401.12;1404.59
2020-04-06;1404.59;1463.06;1438.88;1461.23
2020-04-07;1461.23;1514.17;1483.19;1510.85
2020-04-08;1510.85;1502.88;1485.02;1499.51
2020-04-09;1499.51;1526.95;1495.79;1498.76
2020-04-14;1498.76;1538.91;1516.50;1535.84
2020-04-15;1535.84;1534.41;1478.82;1480.60
2020-04-16;1480.60;1499.91;1469.14;1483.79
2020-04-17;1483.79;1536.84;1520.72;1534.55
2020-04-20;1534.55;1548.68;1518.12;1541.17
2020-04-21;1541.17;1525.60;1493.45;1493.45
2020-04-22;1493.45;1527.69;1503.30;1527.63
2020-04-23;1527.63;1547.48;1512.68;1541.89
2020-04-24;1541.89;1529.19;1511.28;1514.13
2020-04-27;1514.13;1543.42;1528.14;1539.51
2020-04-28;1539.51;1571.31;1538.26;1568.50
2020-04-29;1568.50;1602.34;1559.63;1600.86
2020-04-30;1600.86;1606.80;1577.90;1577.92
2020-05-04;1577.92;1531.99;1505.21;1505.21
2020-05-05;1505.21;1539.40;1515.41;1538.18
2020-05-06;1538.18;1537.55;1520.71;1521.40
2020-05-07;1521.40;1540.55;1524.24;1537.74
2020-05-08;1537.74;1564.65;1547.00;1563.19
2020-05-11;1563.19;1572.23;1542.14;1556.49
2020-05-12;1556.49;1572.51;1543.77;1570.03
2020-05-13;1570.03;1551.53;1522.11;1522.64
2020-05-14;1522.64;1513.11;1461.26;1476.52
2020-05-15;1476.52;1508.44;1481.89;1493.62
2020-05-18;1493.62;1566.21;1519.68;1566.16
2020-05-19;1566.16;1576.92;1545.76;1560.28
2020-05-20;1560.28;1565.28;1539.84;1556.44
2020-05-22;1556.44;1560.07;1533.49;1555.49
2020-05-25;1555.49;1592.16;1564.75;1588.60
2020-05-26;1588.60;1609.73;1594.33;1606.65
2020-05-27;1606.65;1633.79;1606.56;1623.39
2020-05-28;1623.39;1659.07;1630.84;1657.58
2020-05-29;1657.58;1645.85;1625.70;1629.76
2020-06-01;1629.76;1651.28;1633.06;1649.38
2020-06-02;1649.38;1678.73;1654.21;1666.98
2020-06-03;1666.98;1709.96;1682.52;1709.96
2020-06-04;1709.96;1708.63;1690.07;1700.48
2020-06-05;1700.48;1730.68;1706.13;1730.51
2020-06-08;1730.51;1729.11;1710.33;1717.66
2020-06-09;1717.66;1721.67;1682.55;1696.70
2020-06-10;1696.70;1715.92;1687.30;1692.32
2020-06-11;1692.32;1658.07;1609.06;1609.06
2020-06-12;1609.06;1634.23;1590.23;1609.07
2020-06-15;1609.07;1620.34;1571.49;1616.14
2020-06-16;1616.14;1677.00;1643.54;1671.84
2020-06-17;1671.84;1688.87;1672.26;1677.53
2020-06-18;1677.53;1677.52;1659.04;1667.93
2020-06-22;1667.93;1668.73;1647.26;1657.71
2020-06-23;1657.71;1694.27;1667.76;1683.36
2020-06-24;1683.36;1681.62;1641.84;1642.91
2020-06-25;1642.91;1662.28;1625.88;1660.96
2020-06-26;1660.96;1689.71;1657.60;1657.66
2020-06-29;1657.66;1674.57;1650.92;1671.53
2020-06-30;1671.53;1679.25;1653.23;1664.38
2020-07-01;1664.38;1687.93;1657.78;1675.04
2020-07-02;1675.04;1704.53;1682.78;1703.82
2020-07-03;1703.82;1710.65;1691.51;1695.26
2020-07-06;1695.26;1732.25;1714.19;1730.88
2020-07-07;1730.88;1724.53;1711.48;1720.45
2020-07-08;1720.45;1725.37;1705.73;1712.53
2020-07-09;1712.53;1723.70;1696.84;1697.84
2020-07-10;1697.84;1713.11;1691.00;1711.62
2020-07-13;1711.62;1745.18;1722.94;1742.73
2020-07-14;1742.73;1742.00;1723.47;1738.60
2020-07-15;1738.60;1772.06;1742.68;1767.85
2020-07-16;1767.85;1761.93;1748.28;1754.55
2020-07-17;1754.55;1781.10;1759.56;1770.15
2020-07-20;1770.15;1787.23;1766.32;1784.54
2020-07-21;1784.54;1797.64;1773.21;1775.39
2020-07-22;1775.39;1782.13;1765.17;1779.85
2020-07-23;1779.85;1793.00;1776.02;1781.10
2020-07-24;1781.10;1761.89;1740.03;1750.24
2020-07-27;1750.24;1763.08;1745.59;1760.31
2020-07-28;1760.31;1763.71;1744.48;1754.25
2020-07-29;1754.25;1762.08;1750.42;1760.58
2020-07-30;1760.58;1758.40;1711.67;1720.28
2020-07-31;1720.28;1738.65;1706.39;1707.35
2020-08-03;1707.35;1751.26;1702.33;1746.32
2020-08-04;1746.32;1756.66;1726.57;1734.25
2020-08-05;1734.25;1751.37;1736.13;1745.49
2020-08-06;1745.49;1750.67;1730.50;1739.14
2020-08-07;1739.14;1746.05;1730.14;1740.46
2020-08-10;1740.46;1754.99;1740.20;1748.91
2020-08-11;1748.91;1792.83;1760.64;1786.28
2020-08-12;1786.28;1790.92;1773.15;1788.99
2020-08-13;1788.99;1795.80;1779.79;1786.80
2020-08-14;1786.80;1781.85;1746.88;1754.20
2020-08-17;1754.20;1773.60;1755.28;1773.53
2020-08-18;1773.53;1780.39;1755.45;1760.09
2020-08-19;1760.09;1775.90;1757.94;1775.24
2020-08-20;1775.24;1761.51;1743.30;1751.93
2020-08-21;1751.93;1765.85;1738.97;1753.13
2020-08-24;1753.13;1792.10;1765.95;1788.40
2020-08-25;1788.40;1807.20;1786.14;1786.27
2020-08-26;1786.27;1798.31;1776.33;1798.31
2020-08-27;1798.31;1805.04;1791.91;1793.97
2020-08-28;1793.97;1797.52;1770.50;1776.57
2020-08-31;1776.57;1793.29;1766.33;1766.33
2020-09-01;1766.33;1786.53;1756.51;1769.44
2020-09-02;1769.44;1804.50;1777.59;1782.86
2020-09-03;1782.86;1815.24;1755.32;1760.61
2020-09-04;1760.61;1792.10;1748.57;1761.99
2020-09-07;1761.99;1800.91;1773.94;1799.26
2020-09-08;1799.26;1801.25;1768.43;1782.60
2020-09-09;1782.60;1812.82;1779.38;1812.58
2020-09-10;1812.58;1813.76;1792.43;1802.85
2020-09-11;1802.85;1812.00;1792.21;1801.46
2020-09-14;1801.46;1816.95;1795.54;1802.69
2020-09-15;1802.69;1829.37;1801.06;1818.80
2020-09-16;1818.80;1839.44;1821.09;1838.26
2020-09-17;1838.26;1836.60;1815.40;1833.75
2020-09-18;1833.75;1847.36;1830.99;1835.36
2020-09-21;1835.36;1822.32;1769.72;1770.61
2020-09-22;1770.61;1793.36;1776.85;1781.92
2020-09-23;1781.92;1814.53;1789.70;1795.64
2020-09-24;1795.64;1789.05;1767.47;1777.51
2020-09-25;1777.51;1789.15;1762.43;1783.87
2020-09-28;1783.87;1836.95;1806.77;1834.64
2020-09-29;1834.64;1842.30;1827.79;1836.60
2020-09-30;1836.60;1841.29;1820.80;1829.40
2020-10-01;1829.40;1842.00;1825.79;1830.04
2020-10-02;1830.04;1816.32;1790.68;1813.69
2020-10-05;1813.69;1842.22;1828.27;1839.68
2020-10-06;1839.68;1855.57;1833.80;1839.15
2020-10-07;1839.15;1851.14;1836.41;1839.22
2020-10-08;1839.22;1850.82;1833.78;1841.40
2020-10-09;1841.40;1848.56;1836.30;1840.07
2020-10-12;1840.07;1857.73;1841.26;1855.39
2020-10-13;1855.39;1856.18;1832.16;1833.46
2020-10-14;1833.46;1849.00;1833.49;1840.85
2020-10-15;1840.85;1825.09;1802.52;1812.95
2020-10-16;1812.95;1841.70;1811.82;1835.30
2020-10-19;1835.30;1851.43;1833.70;1841.59
2020-10-20;1841.59;1854.35;1836.75;1841.59
2020-10-21;1841.59;1849.61;1815.59;1820.72
2020-10-22;1820.72;1818.30;1791.81;1816.29
2020-10-23;1816.29;1830.09;1814.43;1819.94
2020-10-26;1819.94;1808.93;1774.94;1775.01
2020-10-27;1775.01;1785.32;1757.30;1764.01
2020-10-28;1764.01;1744.48;1715.24;1722.66
2020-10-29;1722.66;1733.79;1704.80;1716.03
2020-10-30;1716.03;1722.77;1702.69;1717.62
2020-11-02;1717.62;1752.53;1710.12;1748.42
2020-11-03;1748.42;1774.98;1757.57;1772.27
2020-11-04;1772.27;1801.02;1740.36;1795.53
2020-11-05;1795.53;1823.83;1805.52;1822.21
2020-11-06;1822.21;1827.23;1801.67;1819.52
2020-11-09;1819.52;1903.18;1843.08;1888.74
2020-11-10;1888.74;1893.30;1873.90;1885.54
2020-11-11;1885.54;1908.34;1880.30;1902.89
2020-11-12;1902.89;1906.78;1886.22;1892.41
2020-11-13;1892.41;1901.94;1882.22;1897.30
2020-11-16;1897.30;1926.93;1901.78;1918.46
2020-11-17;1918.46;1925.32;1911.17;1922.20
2020-11-18;1922.20;1928.57;1910.96;1922.53
2020-11-19;1922.53;1921.75;1904.87;1915.40
2020-11-20;1915.40;1932.99;1909.55;1926.47
2020-11-23;1926.47;1940.09;1921.77;1921.77
2020-11-24;1921.77;1938.57;1927.25;1938.14
2020-11-25;1938.14;1950.81;1927.57;1931.43
2020-11-26;1931.43;1940.70;1929.70;1931.97
2020-11-27;1931.97;1938.71;1923.90;1937.09
2020-11-30;1937.09;1935.11;1916.87;1917.54
2020-12-01;1917.54;1927.71;1913.07;1924.00
2020-12-02;1924.00;1925.86;1914.11;1918.99
2020-12-03;1918.99;1920.14;1904.10;1912.18
2020-12-04;1912.18;1919.31;1908.96;1916.94
2020-12-07;1916.94;1920.00;1902.44;1907.61
2020-12-08;1907.61;1925.50;1897.09;1925.50
2020-12-09;1925.50;1934.30;1922.97;1926.42
2020-12-10;1926.42;1927.28;1894.88;1906.82
2020-12-11;1906.82;1896.39;1873.22;1891.22
2020-12-14;1891.22;1908.23;1888.08;1890.65
2020-12-15;1890.65;1899.98;1876.28;1889.84
2020-12-16;1889.84;1908.01;1880.10;1892.26
