Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering
17,1,0,2,19.833722807854716,7,1,2,0,0,1,0
18,0,0,1,15.40875605584674,0,0,1,0,0,0,0
15,0,2,3,4.21056976881226,26,0,2,0,0,0,0
17,1,0,3,10.028829473958217,14,0,3,1,0,0,0
17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0
18,0,0,1,8.191218545250186,0,0,1,1,0,0,0
15,0,1,1,15.601680474699297,10,0,3,0,1,0,0
15,1,1,4,15.424496305808074,22,1,1,1,0,0,0
17,0,0,0,4.562007558047703,1,0,2,0,1,0,1
16,1,0,1,18.4444663630972,0,0,3,1,0,0,0
17,0,0,1,11.851363655296536,11,0,1,0,0,0,0
17,0,0,1,7.59848581924029,15,0,2,0,0,0,1
17,0,1,1,10.038711615617212,21,0,3,1,0,0,0
17,0,1,2,12.101425068754876,21,0,4,0,1,0,0
18,1,0,1,11.197810636915708,9,1,2,0,0,0,0
15,0,0,2,9.728100710723565,17,1,0,0,1,0,0
18,0,3,1,10.098656081788002,14,0,2,1,1,0,0
18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0
18,0,1,3,16.25465808609359,29,0,2,1,0,0,1
17,0,0,1,10.835206398820308,9,0,2,0,0,1,0
16,1,0,3,2.621597234094062,2,0,3,0,0,0,1
15,0,0,2,15.32314203165556,25,0,1,1,0,0,0
16,1,1,0,18.648879567547016,29,1,1,0,0,0,0
18,1,3,4,18.94613798473924,20,0,2,1,0,0,0
18,1,0,1,7.380354648223455,15,0,2,0,0,0,0
16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0
16,0,0,1,10.367992532661304,2,0,2,0,1,0,0
16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0
18,0,0,0,18.679748370252344,10,0,3,1,0,0,0
18,0,0,2,3.67159254710292,20,0,3,1,0,0,0
15,0,2,2,5.055317199023282,12,1,0,0,1,0,0
15,0,0,3,8.132730537699409,17,0,4,0,0,0,1
18,0,0,3,7.663289371182516,25,0,1,0,1,0,0
16,0,3,3,15.89325784795778,21,0,0,1,1,0,0
16,0,0,3,9.126336411019247,27,1,2,1,1,0,0
15,0,3,1,3.415365200066738,23,0,1,0,0,0,0
18,0,0,1,5.344197909721482,26,1,1,0,0,0,0
15,0,2,1,10.18226770375044,21,1,1,0,1,0,0
15,1,1,1,2.949078348522698,3,1,1,1,1,0,0
17,1,2,1,12.233113512920282,21,1,3,1,1,0,0
17,1,3,2,11.314946131022918,23,1,1,0,0,0,0
17,0,0,1,14.294046327645152,7,0,2,0,0,0,0
16,1,3,2,18.754092307587356,12,1,4,0,0,0,0
18,1,0,1,18.245091222023117,9,0,2,0,1,0,0
18,1,0,1,18.921512361376628,1,1,3,1,1,0,0
18,0,0,2,4.894311940474019,7,0,4,0,0,1,0
18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0
17,0,0,2,6.04553400992897,15,0,2,0,0,0,0
16,0,1,2,17.90170345532629,17,0,3,0,0,1,0
16,1,1,1,19.441069492469765,16,0,4,1,0,0,0
17,1,2,2,17.18649902140952,5,0,3,0,0,0,0
16,1,2,0,2.200354422550872,12,1,1,1,0,1,0
17,1,0,1,18.948559961195865,22,0,4,0,0,1,0
18,0,0,2,8.46716054701572,13,0,1,0,1,0,0
17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0
18,0,0,1,8.847874814963872,25,0,2,0,1,0,0
18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0
15,0,0,4,10.87755842322235,29,0,3,1,0,0,0
17,0,0,1,6.771080548741026,9,1,3,0,1,0,0
15,1,3,0,9.468698671880976,23,0,3,0,1,0,0
17,1,1,1,12.26340721486234,10,0,0,1,0,1,0
17,0,0,1,17.376021916356407,12,0,2,0,0,1,0
15,0,1,3,13.238031529438572,11,0,3,0,1,0,0
15,0,0,1,8.680977369563614,8,0,2,0,1,0,0
17,0,0,2,16.388557073407302,3,1,4,0,0,0,0
