;mean_test_f1_score;std_test_f1_score;param_svm__C;param_svm__gamma
1;0.6157;0.1625;14.9029373129374;1.0087196174303927
14;0.6145;0.168;17.101624455817184;1.0035024245249171
18;0.6135;0.1638;13.123609587093597;1.0040550903696988
11;0.6135;0.1638;13.336273504651551;1.0028202777633217
17;0.6121;0.1648;13.888284791157272;1.0033663188957884
5;0.6119;0.1656;17.974480714710467;1.0061695295270958
0;0.6116;0.1704;17.361852380678748;1.0048290952524819
2;0.6116;0.1704;17.502092285935245;1.0072886588604155
12;0.6096;0.1675;18.573761452834088;1.0036269911770335
10;0.6096;0.1675;18.391819381882893;1.003627890613956
19;0.6088;0.1728;19.183467094782795;1.0030060365776696
9;0.6051;0.176;21.879402703914668;1.002112101591993
8;0.6051;0.176;21.72366348710622;1.0015217891622727
16;0.6036;0.1773;22.6977631642252;1.0083320920809562
7;0.6022;0.1786;37.46028954423836;1.0029361982064329
13;0.6022;0.1786;39.223340369041054;1.0064154208834943
6;0.6022;0.1786;25.785966874800334;1.00736038924212
15;0.6022;0.1786;34.34253175505534;1.0065723594386304
4;0.6022;0.1786;24.6866141127294;1.006115997687092
3;0.6022;0.1786;24.166283045229747;1.004709103424039
