id;NormKurs5;NormKurs200;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI2_diff;RSI3_diff;RSI5_diff;RSI9_diff;RSI10_diff;RSI14_diff;RSI20_diff;RSI25_diff;Stoch_Sk1383;Stoch_Sd1383;Stoch_Sk533;Stoch_Sd533;Stoch_Sk2177;Stoch_Sd2177;Stoch_Sk211414;Stoch_Sd211414;Stoch_Sk31414;Stoch_Sd31414;MACD_12_26_9;MACDS_12_26_9;MACD_5_35_5;MACDS_5_35_5;MACD_12_26_9Diff;MACDS_12_26_9Diff;MACD_5_35_5Diff;MACDS_5_35_5Diff;MACD_12_26_9DiffDirChange;MACDS_12_26_9DiffDirChange;MACD_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;week_of_year;day_of_year;day_of_month;day_week__0;day_week__1;day_week__2;day_week__3;day_week__4;month_year__1;month_year__2;month_year__3;month_year__4;month_year__5;month_year__6;month_year__7;month_year__8;month_year__9;month_year__10;month_year__11;month_year__12;week_month__1;week_month__2;week_month__3;week_month__4;week_month__5;week_month__6
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;1;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;1;3;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2;;;;;;;;5.229045290167433;3.425500898463256;19.89042596782641;14.201889411706997;9.034353186466179;5.229045290167433;4.7308787403462516;3.425500898463256;2.4227480053313166;1.9476356651105706;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;2;7;7;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;;;;;;;;5.191666460619194;3.4099920448849708;-0.709171652352083;-0.3256094035493948;-0.11976192468983804;-0.037378829548239345;-0.030312634794274373;-0.01550885357828502;-0.007613387025022789;-0.004876397144287781;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;2;8;8;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4;;;;;;;;5.8821053776161545;3.840818007787989;3.8042019425594162;2.364897837270666;1.3188930815063085;0.6904389169969605;0.6163666722711669;0.4308259629030182;0.29649145439603686;0.23526287617480057;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;2;9;9;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
5;0.0;;;;;;;5.489033466965386;3.684968112854262;-8.839339885594658;-3.9745877124074696;-1.3639072238957048;-0.3930719106507681;-0.31493770786259656;-0.15584989493372703;-0.07445555660703995;-0.04705690179518607;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;2;10;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;0.4663330528901384;;;;;;;8.680539678894702;5.616394802015772;18.332940258238292;11.680578332562046;6.379991795833199;3.1915062119293154;2.826749594297012;1.9314266891615097;1.3035615539337773;1.0242507050632725;;;51.88892570907303;51.88892570907303;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;3;13;13;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
7;0.6737502292901938;;;;;;;10.1351559062467;6.483206194541572;8.197433427714472;5.409959849794369;2.964188776167555;1.4546162273519982;1.2833912070628077;0.8668113925258005;0.5790667177457132;0.45260954277097953;;;45.38978445187053;45.38978445187053;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;3;14;14;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8;0.1971167591148347;;;;;;;9.730899576936272;6.336845110047111;-12.180707203339168;-5.345620043164036;-1.6334266641036947;-0.404256329310428;-0.3162264873149141;-0.14636108449446095;-0.06616891407990977;-0.04069685385835076;;;46.12908204631325;46.12908204631325;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;3;15;15;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
9;1.0;;;;;;;24.62354240349556;15.453713969811133;47.68932137444307;39.497127734082746;27.046284276289235;14.892642826559287;13.264242746910272;9.116868859764022;6.127793516506146;4.792767811980694;;;58.44690530915249;58.44690530915249;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;3;16;16;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10;1.0;;;;;;;31.474330055315846;20.003670780617895;8.406750719414532;10.009327052710383;9.867841779495485;6.850787651820287;6.254442982977633;4.549956810806762;3.1676702304653634;2.5124879366701514;;;71.04858488877234;71.04858488877234;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;3;17;17;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
11;0.8796917518704161;;;;;;;30.426835140990683;19.618046308615448;-12.934871879502921;-8.149895401915373;-3.5746619319414137;-1.0474949143251635;-0.8271587613671194;-0.38562447200244776;-0.17216149489854615;-0.10466664040770546;;;82.60563021285687;82.60563021285687;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;20;20;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12;0.9917219453751766;;;;;;;32.74279700967282;21.13489643814495;4.988172881440349;4.189959145401858;3.479669722716764;2.3159618686821375;2.1067801728373006;1.5168501295295016;1.045287597934946;0.8242298376276729;;;84.34649997626903;84.34649997626903;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;21;21;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
13;0.0;;;;;;;29.276644184882823;19.850225052639093;-35.103471149118796;-23.686261918104506;-11.249427371001694;-3.4661528247899973;-2.746532560426047;-1.284671385505856;-0.5711928459133482;-0.34581370190012173;;;78.18992264165895;78.18992264165895;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;22;22;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
14;0.0;;;;;;;25.7132155414865;18.435620159673988;-18.583237497550947;-15.986835317321159;-9.673209897493557;-3.5634286433963247;-2.8825254499945814;-1.4146048929651052;-0.6477280539001935;-0.3965997818923199;69.38857185730001;;62.49285729952095;62.49285729952095;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;23;23;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;0.5770107997230011;;;;;;;35.07912243004409;24.578726027422306;32.14022464853977;23.23723785294669;15.332363628964679;9.36590688855759;8.507463369619419;6.143105867748318;4.251790862015456;3.3566029754208238;70.2140898981053;;45.56173245852176;45.56173245852176;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;24;24;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
16;0.0;;;;;;;26.322113438117615;20.62593692990732;-32.9361731781264;-27.201636445112413;-18.78304949504348;-8.757008991926472;-7.344725033062293;-3.9527890975149873;-1.9257883313467232;-1.2086698812453829;66.36227140185433;68.65497771908655;32.09512373015928;32.09512373015928;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;27;27;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
17;0.3594391452201272;;;;;;;33.00175789781582;25.2552200079376;18.971880026905353;14.597235718730978;10.284311427527562;6.679644459698206;6.146070245836967;4.62928307803028;3.332033302847904;2.6817904072709986;57.91393751945303;64.83009960647088;29.311710812278648;29.311710812278648;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;28;28;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18;0.4880364020339779;;;;;;;35.33235423694435;26.889713395716726;6.809162453773851;5.110797033916356;3.5544110170585057;2.330596339128526;2.150748047308422;1.634493387779127;1.184625456288103;0.9561243370890136;51.59250984155145;58.62290625428627;31.279382449221064;31.279382449221064;63.40461595360368;63.40461595360368;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;29;29;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
