Lasso;Tree;Backward_Elimination;RecursiveTop17;RecursiveTop34;RecursiveTop51;Manual;All
MA200Norm;month_year__9;NormKurs200;MA200Norm;MA200Norm;MA200Norm;MA200Norm;NormKurs5
month_year__10;Stoch_Sd1338;NumberRise200;MACDS_12_26_9;MACDS_12_26_9;MACDS_12_26_9;MA50Norm;NormKurs200
MACDS_12_26_9Diff;month_year__8;MA50Norm;month_year__7;month_year__7;month_year__7;MACDS_12_26_9;NumberRise200
month_year__11;Stoch_Sk2177;MA200Norm;month_year__6;month_year__6;month_year__6;MACDS_12_26_9Diff;MA50Norm
month_year__1;month_year__5;MA50NormDiff;month_year__10;month_year__10;month_year__10;MACDS_5_35_5;MA200Norm
month_year__12;Stoch_Sd2177;MA200NormDiff;MACDS_5_35_5;MACDS_5_35_5;MACDS_5_35_5;MACD_12_26_9;MA50NormDiff
NumberRise200;Stoch_Sd31414;RSI_9;month_year__11;month_year__11;month_year__11;MACD_5_35_5;MA200NormDiff
month_year__5;RSI_14;RSI_14;month_year__1;month_year__1;month_year__1;NormKurs200;RSI_9
MACDS_12_26_9;Stoch_Sk211414;RSI9_diff;month_year__12;month_year__12;month_year__12;NumberRise200;RSI_14
month_year__8;month_year__11;RSI10_diff;month_year__5;month_year__5;month_year__5;RSI_14;RSI2_diff
month_year__6;MACDS_12_26_9Diff;RSI14_diff;NormKurs200;NormKurs200;NormKurs200;Stoch_Sd211414;RSI3_diff
month_year__7;month_year__1;RSI20_diff;NumberRise200;NumberRise200;NumberRise200;Stoch_Sd31414;RSI5_diff
;month_year__10;Stoch_Sd211414;month_year__8;month_year__8;month_year__8;day_of_year;RSI9_diff
;MACD_5_35_5;Stoch_Sk31414;MACDS_12_26_9Diff;MACDS_12_26_9Diff;MACDS_12_26_9Diff;month_year__1;RSI10_diff
;MACD_12_26_9;Stoch_Sd31414;MA50Norm;MA50Norm;MA50Norm;month_year__10;RSI14_diff
;MA50Norm;MACD_12_26_9;MACD_5_35_5;MACD_5_35_5;MACD_5_35_5;month_year__11;RSI20_diff
;MACDS_5_35_5;MACDS_12_26_9;Stoch_Sk1338;Stoch_Sk1338;Stoch_Sk1338;month_year__12;RSI25_diff
;month_year__6;MACD_5_35_5;;week_of_year;week_of_year;month_year__5;Stoch_Sk1433
;month_year__7;MACDS_5_35_5;;MACD_12_26_9;MACD_12_26_9;month_year__6;Stoch_Sd1433
;Stoch_Sd211414;MACD_12_26_9Diff;;RSI_9;RSI_9;month_year__7;Stoch_Sk1338
;MACDS_12_26_9;MACDS_12_26_9Diff;;month_year__9;month_year__9;month_year__8;Stoch_Sd1338
;day_of_year;MACD_5_35_5Diff;;Stoch_Sd1338;Stoch_Sd1338;month_year__9;Stoch_Sk533
;NormKurs200;MACDS_5_35_5Diff;;MACD_12_26_9Diff;MACD_12_26_9Diff;week_of_year;Stoch_Sd533
;week_of_year;week_of_year;;day_of_year;day_of_year;;Stoch_Sk2177
;NumberRise200;day_of_year;;Stoch_Sk2177;Stoch_Sk2177;;Stoch_Sd2177
;MA200Norm;day_of_month;;Stoch_Sd211414;Stoch_Sd211414;;Stoch_Sk211414
;;day_week__0;;Stoch_Sd2177;Stoch_Sd2177;;Stoch_Sd211414
;;day_week__1;;MACDS_5_35_5Diff;MACDS_5_35_5Diff;;Stoch_Sk31414
;;day_week__3;;Stoch_Sk1433;Stoch_Sk1433;;Stoch_Sd31414
;;day_week__4;;Stoch_Sd31414;Stoch_Sd31414;;MACD_12_26_9
;;month_year__1;;Stoch_Sd1433;Stoch_Sd1433;;MACDS_12_26_9
;;month_year__2;;Stoch_Sk211414;Stoch_Sk211414;;MACD_5_35_5
;;month_year__3;;MA50NormDiff;MA50NormDiff;;MACDS_5_35_5
;;month_year__4;;MACD_5_35_5DiffDirChange;MACD_5_35_5DiffDirChange;;MACD_12_26_9Diff
;;month_year__5;;;month_year__3;;MACDS_12_26_9Diff
;;month_year__6;;;month_year__2;;MACD_5_35_5Diff
;;month_year__7;;;MACD_5_35_5Diff;;MACDS_5_35_5Diff
;;month_year__8;;;Stoch_Sk31414;;MACD_12_26_9DiffDirChange
;;month_year__9;;;day_week__1;;MACDS_12_26_9DiffDirChange
;;month_year__10;;;week_month__4;;MACD_5_35_5DiffDirChange
;;month_year__11;;;day_week__3;;MACDS_5_35_5DiffDirChange
;;month_year__12;;;week_month__1;;week_of_year
;;week_month__1;;;month_year__4;;day_of_year
;;week_month__2;;;RSI9_diff;;day_of_month
;;week_month__3;;;NormKurs5;;day_week__0
;;week_month__4;;;day_of_month;;day_week__1
;;week_month__5;;;week_month__5;;day_week__2
;;week_month__6;;;day_week__4;;day_week__3
;;;;;week_month__2;;day_week__4
;;;;;week_month__6;;month_year__1
;;;;;RSI10_diff;;month_year__2
;;;;;;;month_year__3
;;;;;;;month_year__4
;;;;;;;month_year__5
;;;;;;;month_year__6
;;;;;;;month_year__7
;;;;;;;month_year__8
;;;;;;;month_year__9
;;;;;;;month_year__10
;;;;;;;month_year__11
;;;;;;;month_year__12
;;;;;;;week_month__1
;;;;;;;week_month__2
;;;;;;;week_month__3
;;;;;;;week_month__4
;;;;;;;week_month__5
;;;;;;;week_month__6
