;mean_test_f1_score;std_test_f1_score;param_scaler;param_sampling;param_feat__cols;param_svm__kernel;param_svm__C;param_svm__gamma
48;0.9794745484400657;0.006841817186644783;StandardScaler();SMOTE();Tree;linear;1;0.1
67;0.9794745484400657;0.006841817186644783;StandardScaler();ADASYN();Tree;linear;1;1
50;0.9794745484400657;0.006841817186644783;StandardScaler();SMOTE();Tree;linear;1;10
41;0.9794745484400657;0.006841817186644783;StandardScaler();Nosampler();Tree;linear;1;10
40;0.9794745484400657;0.006841817186644783;StandardScaler();Nosampler();Tree;linear;1;1
39;0.9794745484400657;0.006841817186644783;StandardScaler();Nosampler();Tree;linear;1;0.1
49;0.9794745484400657;0.006841817186644783;StandardScaler();SMOTE();Tree;linear;1;1
71;0.9727729894506998;0.013652349915816098;StandardScaler();ADASYN();Tree;linear;10;10
69;0.9727729894506998;0.013652349915816098;StandardScaler();ADASYN();Tree;linear;10;0.1
53;0.9727729894506998;0.013652349915816098;StandardScaler();SMOTE();Tree;linear;10;10
52;0.9727729894506998;0.013652349915816098;StandardScaler();SMOTE();Tree;linear;10;1
70;0.9727729894506998;0.013652349915816098;StandardScaler();ADASYN();Tree;linear;10;1
42;0.9727729894506998;0.013652349915816098;StandardScaler();Nosampler();Tree;linear;10;0.1
43;0.9727729894506998;0.013652349915816098;StandardScaler();Nosampler();Tree;linear;10;1
44;0.9727729894506998;0.013652349915816098;StandardScaler();Nosampler();Tree;linear;10;10
51;0.9727729894506998;0.013652349915816098;StandardScaler();SMOTE();Tree;linear;10;0.1
66;0.9725700313158601;6.269993756086167e-05;StandardScaler();ADASYN();Tree;linear;1;0.1
68;0.9691735084838533;0.0034592227695675604;StandardScaler();ADASYN();Tree;linear;1;10
32;0.9591206395348837;0.013626453488372103;StandardScaler();ADASYN();Lasso;linear;1;10
12;0.9591206395348837;0.013626453488372103;StandardScaler();SMOTE();Lasso;linear;1;0.1
13;0.9591206395348837;0.013626453488372103;StandardScaler();SMOTE();Lasso;linear;1;1
35;0.9590348682075075;8.577132737619397e-05;StandardScaler();ADASYN();Lasso;linear;10;10
6;0.9555603197674418;0.0035603197674418663;StandardScaler();Nosampler();Lasso;linear;10;0.1
7;0.9555603197674418;0.0035603197674418663;StandardScaler();Nosampler();Lasso;linear;10;1
8;0.9555603197674418;0.0035603197674418663;StandardScaler();Nosampler();Lasso;linear;10;10
16;0.9555603197674418;0.0035603197674418663;StandardScaler();SMOTE();Lasso;linear;10;1
33;0.9523252271730973;0.006623869707033936;StandardScaler();ADASYN();Lasso;linear;10;0.1
31;0.9522216414633214;0.006727455416809858;StandardScaler();ADASYN();Lasso;linear;1;1
34;0.9522001903984767;0.0002001903984767961;StandardScaler();ADASYN();Lasso;linear;10;1
17;0.9522001903984767;0.0002001903984767961;StandardScaler();SMOTE();Lasso;linear;10;10
15;0.9522001903984767;0.0002001903984767961;StandardScaler();SMOTE();Lasso;linear;10;0.1
3;0.9521048655045287;0.00010486550452870613;StandardScaler();Nosampler();Lasso;linear;1;0.1
4;0.9521048655045287;0.00010486550452870613;StandardScaler();Nosampler();Lasso;linear;1;1
5;0.9521048655045287;0.00010486550452870613;StandardScaler();Nosampler();Lasso;linear;1;10
14;0.9488747932381073;0.010074303642023996;StandardScaler();SMOTE();Lasso;linear;1;10
30;0.9454002447980416;0.006599755201958324;StandardScaler();ADASYN();Lasso;linear;1;0.1
46;0.9350832341891089;0.010182228317732911;StandardScaler();SMOTE();Tree;linear;0.1;1
72;0.9301299018396255;0.007193093656915672;StandardScaler();Nosampler();Lasso;rbf;1;1
64;0.9215493960777377;0.003651202317475011;StandardScaler();ADASYN();Tree;linear;0.1;1
63;0.9086948090400124;0.023172923518126998;StandardScaler();ADASYN();Tree;linear;0.1;0.1
45;0.9060043715669663;0.0258633609911732;StandardScaler();SMOTE();Tree;linear;0.1;0.1
21;0.9059142289781068;0.05303486790202444;StandardScaler();SMOTEENN();Lasso;linear;1;0.1
65;0.905001965069306;0.012896228690956746;StandardScaler();ADASYN();Tree;linear;0.1;10
22;0.8999558003535971;0.038844689242485964;StandardScaler();SMOTEENN();Lasso;linear;1;1
28;0.8977752757994694;0.0060003840245775875;StandardScaler();ADASYN();Lasso;linear;0.1;1
11;0.8973820159585351;0.006393643865511833;StandardScaler();SMOTE();Lasso;linear;0.1;10
47;0.8969964585647359;0.027904547306640215;StandardScaler();SMOTE();Tree;linear;0.1;10
37;0.8954990767164679;0.015358066140674864;StandardScaler();Nosampler();Tree;linear;0.1;1
38;0.8954990767164679;0.015358066140674864;StandardScaler();Nosampler();Tree;linear;0.1;10
36;0.8954990767164679;0.015358066140674864;StandardScaler();Nosampler();Tree;linear;0.1;0.1
19;0.8947380481413928;0.016119094715750015;StandardScaler();SMOTEENN();Lasso;linear;0.1;1
29;0.8944838408975712;0.009291818926475792;StandardScaler();ADASYN();Lasso;linear;0.1;10
27;0.8911973066248449;0.012578353199202086;StandardScaler();ADASYN();Lasso;linear;0.1;0.1
9;0.8910112065354001;0.012764453288646838;StandardScaler();SMOTE();Lasso;linear;0.1;0.1
0;0.8882205973144004;0.015555062509646556;StandardScaler();Nosampler();Lasso;linear;0.1;0.1
1;0.8882205973144004;0.015555062509646556;StandardScaler();Nosampler();Lasso;linear;0.1;1
2;0.8882205973144004;0.015555062509646556;StandardScaler();Nosampler();Lasso;linear;0.1;10
10;0.8882205973144004;0.015555062509646556;StandardScaler();SMOTE();Lasso;linear;0.1;1
57;0.8878345184227537;0.07787976729153201;StandardScaler();SMOTEENN();Tree;linear;1;0.1
25;0.8854557645744087;0.039115663997020045;StandardScaler();SMOTEENN();Lasso;linear;10;1
60;0.8809478274173806;0.06454635862913094;StandardScaler();SMOTEENN();Tree;linear;10;0.1
18;0.8804884011074539;0.02328725871659304;StandardScaler();SMOTEENN();Lasso;linear;0.1;0.1
20;0.8791697912214098;0.024605868602637138;StandardScaler();SMOTEENN();Lasso;linear;0.1;10
58;0.8712074897533879;0.08056321439433156;StandardScaler();SMOTEENN();Tree;linear;1;1
26;0.870768289632387;0.060813538501165276;StandardScaler();SMOTEENN();Lasso;linear;10;10
23;0.8700288706261778;0.05517172776903506;StandardScaler();SMOTEENN();Lasso;linear;1;10
59;0.8696443052315084;0.04032383734201761;StandardScaler();SMOTEENN();Tree;linear;1;10
