;mean_test_f1_score;std_test_f1_score;param_scaler;param_sampling;param_feat__cols;param_svm__kernel;param_svm__C;param_svm__gamma
51;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);SMOTE(k_neighbors=5, n_jobs=None, random_state=None, sampling_strategy='auto');Tree;linear;10;0.1
71;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);ADASYN(n_jobs=None, n_neighbors=5, random_state=None, sampling_strategy='auto');Tree;linear;10;10
42;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);Nosampler();Tree;linear;10;0.1
43;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);Nosampler();Tree;linear;10;1
44;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);Nosampler();Tree;linear;10;10
53;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);SMOTE(k_neighbors=5, n_jobs=None, random_state=None, sampling_strategy='auto');Tree;linear;10;10
52;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);SMOTE(k_neighbors=5, n_jobs=None, random_state=None, sampling_strategy='auto');Tree;linear;10;1
69;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);ADASYN(n_jobs=None, n_neighbors=5, random_state=None, sampling_strategy='auto');Tree;linear;10;0.1
70;0.9829320467889492;0.017067953211050924;StandardScaler(copy=True, with_mean=True, with_std=True);ADASYN(n_jobs=None, n_neighbors=5, random_state=None, sampling_strategy='auto');Tree;linear;10;1
66;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);ADASYN(n_jobs=None, n_neighbors=5, random_state=None, sampling_strategy='auto');Tree;linear;1;0.1
41;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);Nosampler();Tree;linear;1;10
48;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);SMOTE(k_neighbors=5, n_jobs=None, random_state=None, sampling_strategy='auto');Tree;linear;1;0.1
50;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);SMOTE(k_neighbors=5, n_jobs=None, random_state=None, sampling_strategy='auto');Tree;linear;1;10
68;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);ADASYN(n_jobs=None, n_neighbors=5, random_state=None, sampling_strategy='auto');Tree;linear;1;10
39;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);Nosampler();Tree;linear;1;0.1
40;0.9692746054817276;0.010153965946843813;StandardScaler(copy=True, with_mean=True, with_std=True);Nosampler();Tree;linear;1;1
