;mean_test_f1_score;std_test_f1_score;param_svm__C;param_svm__gamma
0;0.6986;0.2244;13.155273481744972;1.0036231177175996
12;0.6986;0.2244;12.97106140931955;1.005352620590853
10;0.6986;0.2244;12.917720965142799;1.0046958703568702
7;0.6957;0.2251;14.296115052613462;1.003667440320837
13;0.6948;0.2214;6.566145322305676;1.0040037901167642
6;0.6948;0.2214;9.851737195909303;1.0067011755984383
15;0.6948;0.2214;9.612575214256534;1.0022279765601736
4;0.6948;0.2214;6.571912331679887;1.00563198357221
17;0.6931;0.2211;6.174898588376059;1.0036738117086332
11;0.6923;0.224;7.926038808981618;1.001466196909833
14;0.6923;0.224;7.735819218026889;1.0027639569937319
1;0.6923;0.224;10.668924716511981;1.005371722068986
2;0.6728;0.1934;5.768654050589109;1.0062353058076703
19;0.6561;0.1761;5.4403468166629025;1.0066294334172583
18;0.6543;0.1737;3.7563970049328956;1.0020746675422834
9;0.6541;0.1734;5.044239198165872;1.007680914182275
16;0.6541;0.1734;4.872756785168898;1.0066162303335002
5;0.6541;0.1734;5.1486041109833485;1.0018440785650005
8;0.6524;0.1711;3.6540127617287355;1.0037111022961247
3;0.6524;0.1711;4.7223190387828335;1.0056090271980833
